Phrase ^ Count
and the  ^ 717
and abraham rose up early  ^ 2
in the morning, and took  ^ 2
god hath heard  ^ 2
for i will make  ^ 2
and his mother took  ^ 2
abraham, saying,  ^ 2
time, that abimelech  ^ 2
of water, which  ^ 2
what mean these  ^ 2
and abraham called  ^ 2
wherefore he called  ^ 2
his son isaac  ^ 2
that isaac  ^ 2
stretched forth his hand,  ^ 2
of the lord called  ^ 2
withheld thy son,  ^ 2
and hast not withheld  ^ 2
is upon the sea  ^ 2
and in thy seed shall all  ^ 2
shall all the nations  ^ 2
of the earth be blessed;  ^ 2
be blessed; because  ^ 2
unto his young men,  ^ 2
she hath also  ^ 2
god had told  ^ 2
in the morning, and saddled  ^ 2
both of them together.  ^ 2
his father, and said,  ^ 2
and said, my father:  ^ 2
my father: and he said,  ^ 2
an altar there,  ^ 2
isaac his son,  ^ 2
was a hundred  ^ 2
of the children of heth,  ^ 2
that went in at the gate  ^ 2
thy dead. and abraham  ^ 2
before the people  ^ 2
take it of  ^ 2
answered abraham,  ^ 2
abraham, saying  ^ 2
shekels of silver;  ^ 2
unto abraham for a possession  ^ 2
in the presence of the children  ^ 2
the same is hebron  ^ 2
is hebron in the land  ^ 2
in the cave  ^ 2
in the land of canaan:  ^ 2
for a possession of a burial place  ^ 2
the cave of machpelah,  ^ 2
and the servant took  ^ 2
took ten  ^ 2
a well of water  ^ 2
to draw water:  ^ 2
the well of water;  ^ 2
drink, and i will give thy camels  ^ 2
and i will give thy camels drink  ^ 2
drink also:  ^ 2
who was born  ^ 2
ran to meet  ^ 2
and let down her pitcher  ^ 2
i pray thee, thy hand  ^ 2
thy hand under  ^ 2
whose daughter  ^ 2
daughter art thou?  ^ 2
straw and  ^ 2
and provender  ^ 2
the lord. and he said,  ^ 2
of the daughters of the canaanites,  ^ 2
and it came to pass, when he saw  ^ 2
and, behold, he stood  ^ 2
to wash his feet,  ^ 2
and camels, and asses.  ^ 2
and the lord hath blessed  ^ 2
in whose land  ^ 2
made me swear, saying,  ^ 2
saying, thou shalt not  ^ 2
dwell: but  ^ 2
but thou shalt go  ^ 2
thou shalt go unto  ^ 2
unto my father's  ^ 2
my father's house,  ^ 2
and to my kindred,  ^ 2
my kindred, and take  ^ 2
and take a wife  ^ 2
her, give me, i pray thee, a little  ^ 2
behold, rebekah  ^ 2
son, whom  ^ 2
abraham, which  ^ 2
if ye will  ^ 2
deal kindly  ^ 2
and the servant said  ^ 2
will not be willing  ^ 2
be willing to follow  ^ 2
rebekah, and said  ^ 2
this man?  ^ 2
not my son  ^ 2
my son thither  ^ 2
upon the camels,  ^ 2
dwelt in the south  ^ 2
this land;  ^ 2
god of heaven,  ^ 2
and if the woman  ^ 2
and isaac dwelt  ^ 2
abraham's son,  ^ 2
unto his people.  ^ 2
and seven years:  ^ 2
in the presence  ^ 2
is before egypt,  ^ 2
and these are the generations  ^ 2
old when he took  ^ 2
and they called his name  ^ 2
and his name was called  ^ 2
and esau was  ^ 2
therefore was his name  ^ 2
was his name called  ^ 2
and esau said  ^ 2
to jacob,  ^ 2
in a good old age,  ^ 2
unto abimelech  ^ 2
king of the philistines  ^ 2
have lain with  ^ 2
is this thou hast done  ^ 2
in that land,  ^ 2
in the days of abraham  ^ 2
departed thence,  ^ 2
servants digged  ^ 2
upon the name of the lord,  ^ 2
and pitched his tent  ^ 2
and i will be with  ^ 2
the daughter of elon  ^ 2
looked out at  ^ 2
at a window,  ^ 2
lest i die  ^ 2
son, and said  ^ 2
esau my brother  ^ 2
and his mother said  ^ 2
jacob her younger  ^ 2
thy soul may bless  ^ 2
may bless and isaac  ^ 2
and he said, because  ^ 2
unto isaac  ^ 2
isaac his father;  ^ 2
venison, that  ^ 2
that my soul  ^ 2
my soul may bless  ^ 2
was yet  ^ 2
and said unto his father,  ^ 2
and isaac his father  ^ 2
bless me, even me  ^ 2
me, even me also,  ^ 2
also, o my father.  ^ 2
and make me savory meat,  ^ 2
thy brother esau,  ^ 2
and she sent and called  ^ 2
now therefore, my son,  ^ 2
therefore, my son, obey  ^ 2
flee thou to  ^ 2
until thy brother's  ^ 2
in one day?  ^ 2
saying, bring  ^ 2
in that place  ^ 2
of god ascending  ^ 2
the land whereon  ^ 2
stood above  ^ 2
the stone that  ^ 2
my father's house  ^ 2
and god almighty  ^ 2
of the daughters of canaan;  ^ 2
unto ishmael,  ^ 2
and came into the land  ^ 2
his mother's brother,  ^ 2
mouth, and watered  ^ 2
jacob saw  ^ 2
and lifted up his voice,  ^ 2
to meet him, and embraced  ^ 2
unto and laban  ^ 2
and laban gave  ^ 2
i serve with  ^ 2
other years.  ^ 2
rachel his daughter  ^ 2
me, because i have born  ^ 2
will i praise the lord:  ^ 2
of the tree,  ^ 2
and the man said,  ^ 2
unto the serpent,  ^ 2
enmity between  ^ 2
and he shall rule  ^ 2
did the lord god  ^ 2
or else  ^ 2
and zilpah leah's  ^ 2
leah's maid  ^ 2
maid bore  ^ 2
bore jacob  ^ 2
jacob a son.  ^ 2
jacob a second  ^ 2
a second son.  ^ 2
said, therefore  ^ 2
unto me; for  ^ 2
unto leah,  ^ 2
conceived again,  ^ 2
him, thou knowest  ^ 2
and all the brown  ^ 2
and jacob took  ^ 2
upon the cattle  ^ 2
and it came to pass at the time  ^ 2
isaac his father  ^ 2
and laban went  ^ 2
that jacob  ^ 2
not to jacob  ^ 2
jacob either good  ^ 2
said to jacob,  ^ 2
it is in the power  ^ 2
and jacob answered  ^ 2
and said to laban,  ^ 2
with whomsoever  ^ 2
but found them not.  ^ 2
and jacob sent  ^ 2
my wages ten  ^ 2
is a witness between  ^ 2
pass over this  ^ 2
of his father isaac.  ^ 2
to eat bread:  ^ 2
with and ye  ^ 2
he said thus,  ^ 2
of the sea, which  ^ 2
pass over before  ^ 2
a space between  ^ 2
that goeth before  ^ 2
thy servant jacob  ^ 2
lodged that  ^ 2
that and jacob  ^ 2
was left alone;  ^ 2
of jacob's thigh  ^ 2
jacob. and he said,  ^ 2
jacob, but  ^ 2
messengers before  ^ 2
i have seen thy face,  ^ 2
said, nay,  ^ 2
the cattle that  ^ 2
let me find grace  ^ 2
in the sight of my lord.  ^ 2
of the place is called  ^ 2
of shechem, which  ^ 2
passed over before  ^ 2
on his neck,  ^ 2
of leah, which  ^ 2
she bore unto jacob,  ^ 2
ye shall say unto  ^ 2
grace in your eyes,  ^ 2
he had defiled dinah  ^ 2
and the sons of jacob  ^ 2
and shechem his son  ^ 2
and communed with  ^ 2
all that went out  ^ 2
that went out of the gate  ^ 2
simeon and levi,  ^ 2
all the males.  ^ 2
the males. and they slew  ^ 2
the sons of jacob  ^ 2
of jacob came  ^ 2
and spoke kindly  ^ 2
unto his father  ^ 2
saying, get  ^ 2
the father of shechem  ^ 2
an altar unto god,  ^ 2
where he talked  ^ 2
and it came to pass, when israel  ^ 2
reuben, jacob's  ^ 2
abraham and isaac  ^ 2
being old and full  ^ 2
gods which  ^ 2
of canaan, that  ^ 2
of esau, who  ^ 2
amalek: these  ^ 2
esau's son;  ^ 2
of bashemath esau's  ^ 2
jeush, and jaalam,  ^ 2
and these were  ^ 2
the daughter of anah  ^ 2
of anah the daughter  ^ 2
in the land of edom;  ^ 2
of edom; these  ^ 2
are the sons of esau,  ^ 2
and aholibamah the daughter  ^ 2
and these are the children  ^ 2
and these are the kings  ^ 2
and baalhanan the son  ^ 2
and adah bore  ^ 2
in the land of canaan;  ^ 2
and his sons, and his daughters,  ^ 2
not bear  ^ 2
in mount seir:  ^ 2
him, and said unto him, what  ^ 2
what seekest  ^ 2
i seek  ^ 2
for i heard  ^ 2
of canaan. these  ^ 2
and joseph brought  ^ 2
brought unto  ^ 2
beast hath devoured  ^ 2
joseph out of  ^ 2
his brethren, what  ^ 2
and he returned unto  ^ 2
that their father  ^ 2
from his brethren,  ^ 2
he said, lest peradventure  ^ 2
he die  ^ 2
in her father's house.  ^ 2
place, which  ^ 2
and judah saw  ^ 2
no harlot  ^ 2
harlot in this  ^ 2
more. and it came to pass  ^ 2
a son; and he called  ^ 2
his brother's wife,  ^ 2
to joseph  ^ 2
and got him out.  ^ 2
his garment in her hand,  ^ 2
when she saw that  ^ 2
my voice and cried,  ^ 2
and cried, that he left  ^ 2
that he left his garment  ^ 2
his garment with  ^ 2
with joseph,  ^ 2
all the prisoners  ^ 2
and adam knew  ^ 2
his wife; and she conceived,  ^ 2
and now art thou  ^ 2
a fugitive and a vagabond  ^ 2
and the lord set  ^ 2
a city, and called  ^ 2
was the father  ^ 2
the father of all  ^ 2
unto cain,  ^ 2
rose up against  ^ 2
i know not:  ^ 2
the cup into  ^ 2
into pharaoh's  ^ 2
are three days:  ^ 2
days: yet  ^ 2
when thou wast  ^ 2
yet within three  ^ 2
within three days  ^ 2
days shall pharaoh  ^ 2
shall pharaoh lift up  ^ 2
i pray thee, unto  ^ 2
nothing that  ^ 2
joseph, i  ^ 2
and joseph answered  ^ 2
as joseph  ^ 2
in one night,  ^ 2
each man according to the interpretation  ^ 2
out of the dungeon:  ^ 2
of peace.  ^ 2
i stood upon  ^ 2
there came up out of  ^ 2
the river seven  ^ 2
ill favored  ^ 2
other kine  ^ 2
kine came up  ^ 2
well favored  ^ 2
kine did eat up  ^ 2
be known that  ^ 2
sprung up after  ^ 2
ears devoured  ^ 2
devoured the seven  ^ 2
the seven good  ^ 2
years; and the seven  ^ 2
years of famine;  ^ 2
shall not be known  ^ 2
by god,  ^ 2
over the land,  ^ 2
all the food  ^ 2
and joseph went out  ^ 2
over all the land  ^ 2
of egypt. and joseph  ^ 2
which asenath  ^ 2
priest of on  ^ 2
of on bore  ^ 2
and the seven years  ^ 2
was in the land  ^ 2
told them  ^ 2
one man's  ^ 2
unto them, nay,  ^ 2
to see the nakedness  ^ 2
the nakedness of the land  ^ 2
of the land ye are come.  ^ 2
of canaan; and, behold,  ^ 2
is this day with  ^ 2
by the life of pharaoh  ^ 2
except your youngest  ^ 2
brother unto  ^ 2
spoke i not  ^ 2
that joseph  ^ 2
and departed thence.  ^ 2
of the country.  ^ 2
their father said  ^ 2
if i bring  ^ 2
my gray hairs with sorrow  ^ 2
is dead, and he  ^ 2
sent not  ^ 2
and the sons of israel  ^ 2
to all the people  ^ 2
to the earth. and joseph  ^ 2
and joseph saw  ^ 2
but they knew  ^ 2
surely now  ^ 2
double money  ^ 2
go again unto  ^ 2
and the men took  ^ 2
and when joseph saw  ^ 2
and the man brought  ^ 2
brought the men  ^ 2
the men into joseph's  ^ 2
us a little food.  ^ 2
to buy food:  ^ 2
except your brother  ^ 2
your brother be with  ^ 2
is an abomination unto the egyptians.  ^ 2
and israel said,  ^ 2
israel his father,  ^ 2
him not unto  ^ 2
shall be my servant;  ^ 2
said unto them, what  ^ 2
thy servant my father,  ^ 2
him the words  ^ 2
our youngest brother  ^ 2
my father, and the lad  ^ 2
and the lad be not  ^ 2
be not with  ^ 2
for good?  ^ 2
saith my lord  ^ 2
and wept upon  ^ 2
did so:  ^ 2
and joseph gave  ^ 2
jacob their father,  ^ 2
had sent to carry  ^ 2
his brethren, i  ^ 2
joseph, god  ^ 2
and onan died  ^ 2
died in the land  ^ 2
of canaan. and the sons  ^ 2
and the sons of pharez  ^ 2
laban gave  ^ 2
manasseh and ephraim,  ^ 2
which came into egypt,  ^ 2
not to go down  ^ 2
are come unto  ^ 2
and their herds, and all  ^ 2
what is your occupation?  ^ 2
we, and also  ^ 2
nation: i  ^ 2
shall put his hand  ^ 2
which pharaoh  ^ 2
and all his seed  ^ 2
daughters, and all  ^ 2
of reuben; hanoch,  ^ 2
and their flocks, and their herds,  ^ 2
and jacob blessed  ^ 2
his father's household,  ^ 2
of egypt, and in the land  ^ 2
and in the land of canaan,  ^ 2
joseph, and said,  ^ 2
said, give  ^ 2
in the sight of my lord,  ^ 2
even to the other end  ^ 2
the land of the priests  ^ 2
the people, behold,  ^ 2
a hundred forty  ^ 2
and said unto him, if  ^ 2
in the land of goshen.  ^ 2
joseph, saying,  ^ 2
and thirty years:  ^ 2
the days of the years  ^ 2
and he took with  ^ 2
joseph, behold,  ^ 2
his right hand  ^ 2
not so,  ^ 2
god almighty  ^ 2
that is in the field  ^ 2
them, and said unto  ^ 2
bought with  ^ 2
with the field  ^ 2
the field of  ^ 2
of ephron  ^ 2
had made an end of commanding  ^ 2
of god made  ^ 2
and enos lived  ^ 2
and cainan lived  ^ 2
and forty years,  ^ 2
and mahalaleel lived  ^ 2
lived sixty  ^ 2
were eight  ^ 2
ninety and five  ^ 2
and jared lived  ^ 2
sixty and two  ^ 2
male and female  ^ 2
and enoch walked  ^ 2
and methuselah lived  ^ 2
a hundred eighty  ^ 2
eighty and two  ^ 2
and lamech lived  ^ 2
noah, saying,  ^ 2
hundred years  ^ 2
and noah begot  ^ 2
and seth lived  ^ 2
wherefore the name  ^ 2
of the land, the canaanites,  ^ 2
and his sons did  ^ 2
now therefore fear  ^ 2
and his father's house:  ^ 2
you out of this  ^ 2
and ten years  ^ 2
days. and when the days  ^ 2
speak, i pray you,  ^ 2
i pray you, in the ears  ^ 2
of pharaoh, saying,  ^ 2
said unto noah,  ^ 2
all flesh,  ^ 2
flesh, wherein  ^ 2
wherein is the breath  ^ 2
and every thing that  ^ 2
and thy sons' wives  ^ 2
the ark, thou,  ^ 2
thou, and thy sons,  ^ 2
two of every  ^ 2
and they took them wives  ^ 2
of all which  ^ 2
shall not always  ^ 2
the sons of god  ^ 2
after that,  ^ 2
both man, and  ^ 2
righteous before  ^ 2
before me in this  ^ 2
thou and all  ^ 2
were upon  ^ 2
and the windows of heaven  ^ 2
in the six hundredth  ^ 2
the earth forty  ^ 2
unto noah  ^ 2
noah into  ^ 2
two and two  ^ 2
days upon  ^ 2
and the waters prevailed  ^ 2
beasts that  ^ 2
are not clean  ^ 2
of every clean  ^ 2
and of beasts  ^ 2
and of every creeping thing  ^ 2
both of fowl, and of cattle,  ^ 2
the earth: and noah  ^ 2
every living substance  ^ 2
from off the face  ^ 2
the earth. and noah  ^ 2
and his sons, and his wife,  ^ 2
and his wife, and his sons'  ^ 2
and his sons' wives  ^ 2
creepeth upon  ^ 2
to pass over  ^ 2
over the earth,  ^ 2
and he stayed yet  ^ 2
yet other  ^ 2
were abated from off  ^ 2
from off the earth.  ^ 2
the waters were dried up  ^ 2
were dried up from off  ^ 2
saying, go forth  ^ 2
of the ark,  ^ 2
went forth out of  ^ 2
of the whole earth:  ^ 2
every living  ^ 2
creature that  ^ 2
a flood to destroy  ^ 2
shall all flesh  ^ 2
me and you and every living  ^ 2
this is the token  ^ 2
my covenant, which  ^ 2
creature of all  ^ 2
of all flesh;  ^ 2
flesh that  ^ 2
is upon the earth.  ^ 2
and went backward,  ^ 2
of shem; and canaan  ^ 2
and canaan shall be  ^ 2
shall be his servant.  ^ 2
you all things.  ^ 2
as the eagle that hasteth  ^ 2
many people,  ^ 2
the earth shall be filled  ^ 2
as the waters cover  ^ 2
cover the sea.  ^ 2
blood, and for the violence  ^ 2
and for the violence of the land,  ^ 2
of the land, of the city,  ^ 2
of the city, and of all  ^ 2
and of all that dwell  ^ 2
for the violence  ^ 2
that the maker  ^ 2
woe unto him that saith  ^ 2
let all the earth  ^ 2
keep silence before  ^ 2
a parable against  ^ 2
to devour the poor  ^ 2
shall yield no  ^ 2
the heavens, and the earth  ^ 2
and to joshua  ^ 2
their god had sent  ^ 2
am with you, saith  ^ 2
of joshua the son  ^ 2
of hosts; consider  ^ 2
consider your ways.  ^ 2
by the prophet  ^ 2
and the priests answered  ^ 2
touch any  ^ 2
and said, so  ^ 2
and now, i pray you,  ^ 2
day and upward,  ^ 2
when one came to  ^ 2
day will i bless  ^ 2
the high priest;  ^ 2
they all shall wax old  ^ 2
angels said  ^ 2
said he at any time,  ^ 2
they not all  ^ 2
he made the  ^ 2
these last  ^ 2
sat down on  ^ 2
of the majesty  ^ 2
again, i  ^ 2
shall be to me  ^ 2
to me a  ^ 2
world, he saith,  ^ 2
and hated  ^ 2
therefore god,  ^ 2
salvation. for  ^ 2
can never  ^ 2
of good things to come,  ^ 2
body of jesus  ^ 2
by the which  ^ 2
sanctified through  ^ 2
sacrifice for  ^ 2
the lord, i will put  ^ 2
my laws  ^ 2
laws into  ^ 2
is the covenant  ^ 2
i will make with  ^ 2
sins and  ^ 2
iniquities will i remember  ^ 2
will i remember no more.  ^ 2
way, which  ^ 2
flesh; and  ^ 2
love and  ^ 2
so much the more,  ^ 2
as ye see  ^ 2
as the manner  ^ 2
sins, but  ^ 2
of sins. but  ^ 2
knowing in  ^ 2
bonds, and  ^ 2
the promise.  ^ 2
promise. for  ^ 2
by faith:  ^ 2
of bulls and  ^ 2
thou wouldest not,  ^ 2
thy will,  ^ 2
will, o god.  ^ 2
said i, lo,  ^ 2
of the book it is written  ^ 2
the law;  ^ 2
faith is  ^ 2
of the sky  ^ 2
died in  ^ 2
by faith abraham,  ^ 2
he that had received the  ^ 2
in isaac  ^ 2
isaac shall thy  ^ 2
even from  ^ 2
it the  ^ 2
the top  ^ 2
children of israel;  ^ 2
concerning his  ^ 2
because they saw  ^ 2
child; and  ^ 2
by faith moses,  ^ 2
parents, because  ^ 2
treasures in  ^ 2
wrath of the  ^ 2
of the king:  ^ 2
by faith the  ^ 2
the harlot  ^ 2
perished not  ^ 2
when she had received the  ^ 2
peace. and  ^ 2
who through  ^ 2
were slain with  ^ 2
that he should not see  ^ 2
he is, and  ^ 2
and became  ^ 2
heir of the  ^ 2
of the righteousness  ^ 2
to go out into  ^ 2
a few days  ^ 2
now no  ^ 2
peace with  ^ 2
who for  ^ 2
no place  ^ 2
and the sound  ^ 2
of a trumpet, and  ^ 2
at the right hand  ^ 2
throne of god.  ^ 2
touch the  ^ 2
that moses said,  ^ 2
zion, and  ^ 2
of all, and  ^ 2
and to god  ^ 2
the mediator of the new  ^ 2
on earth,  ^ 2
if they  ^ 2
not thou the chastening  ^ 2
which speaketh  ^ 2
son is  ^ 2
are burned without  ^ 2
the bodies  ^ 2
is brought into  ^ 2
his own blood,  ^ 2
them that have the rule over you,  ^ 2
shepherd of the  ^ 2
good work  ^ 2
suffer the  ^ 2
they of  ^ 2
the bed  ^ 2
i will not fear  ^ 2
fear what  ^ 2
say, the lord  ^ 2
christ the  ^ 2
today, and  ^ 2
unto glory,  ^ 2
him, for  ^ 2
for both  ^ 2
him that had the  ^ 2
that is, the  ^ 2
as the children  ^ 2
steadfast, and  ^ 2
that thou art mindful  ^ 2
that thou visitest  ^ 2
him over  ^ 2
with glory and  ^ 2
feet. for  ^ 2
my wrath,  ^ 2
any of you  ^ 2
hearts, as  ^ 2
out of egypt  ^ 2
every house  ^ 2
as a servant,  ^ 2
house are  ^ 2
unto the end.  ^ 2
as a son  ^ 2
my works  ^ 2
and opened  ^ 2
unto them: but  ^ 2
if they shall enter  ^ 2
they shall enter into  ^ 2
as he said,  ^ 2
saying in  ^ 2
both gifts  ^ 2
every high priest  ^ 2
principles of the  ^ 2
and are become  ^ 2
when for  ^ 2
infirmity. and  ^ 2
for himself,  ^ 2
people, so  ^ 2
sins. and  ^ 2
also christ  ^ 2
as he saith  ^ 2
from death,  ^ 2
days of his  ^ 2
evil. therefore  ^ 2
leaving the  ^ 2
to the saints,  ^ 2
inherit the  ^ 2
the promises.  ^ 2
promises. for  ^ 2
swear by  ^ 2
an end of all  ^ 2
god, willing  ^ 2
and have tasted  ^ 2
from god:  ^ 2
upon it,  ^ 2
of melchizedek. for  ^ 2
king of salem,  ^ 2
what further  ^ 2
further need  ^ 2
of the law. for  ^ 2
the similitude  ^ 2
after the law  ^ 2
of righteousness, and  ^ 2
abraham gave  ^ 2
not without  ^ 2
with an oath  ^ 2
repent, thou  ^ 2
for them.  ^ 2
the uttermost  ^ 2
sinners, and  ^ 2
needeth not  ^ 2
now consider  ^ 2
people according  ^ 2
and verily  ^ 2
brethren, though  ^ 2
they that are of  ^ 2
the less  ^ 2
better. and  ^ 2
but there  ^ 2
write them  ^ 2
saying, know  ^ 2
every man his  ^ 2
neighbor, and  ^ 2
not man.  ^ 2
of the sanctuary,  ^ 2
he were  ^ 2
all things according  ^ 2
and shadow  ^ 2
he is the mediator  ^ 2
a new covenant  ^ 2
of judah: not  ^ 2
with their fathers  ^ 2
the holy place,  ^ 2
and of goats,  ^ 2
with water,  ^ 2
the vessels  ^ 2
tabernacle, and  ^ 2
entereth into  ^ 2
the end of the  ^ 2
the sacrifice  ^ 2
must he  ^ 2
the foundation of the world:  ^ 2
the second time  ^ 2
unto salvation.  ^ 2
aaron's rod  ^ 2
censer, and  ^ 2
the ark  ^ 2
the service  ^ 2
the priests  ^ 2
he offered for  ^ 2
that the way  ^ 2
in the days of uzziah,  ^ 2
of uzziah, jotham,  ^ 2
jotham, ahaz,  ^ 2
where it was said  ^ 2
are not my people,  ^ 2
of israel shall be  ^ 2
of judah and the children  ^ 2
of israel. and it shall come to pass  ^ 2
in the valley of jezreel.  ^ 2
and bore a son.  ^ 2
a son. then said  ^ 2
will not be  ^ 2
mine heart is turned  ^ 2
is turned within  ^ 2
and israel served  ^ 2
thy god from the land  ^ 2
though he  ^ 2
cloud, and as the early  ^ 2
and as the early dew  ^ 2
am the lord thy god  ^ 2
all iniquity,  ^ 2
of the lord are right,  ^ 2
and none shall deliver  ^ 2
and the beasts of the field  ^ 2
and the valley of achor  ^ 2
out of the earth,  ^ 2
and they shall say,  ^ 2
i will go and return  ^ 2
of the lord toward  ^ 2
toward the children  ^ 2
and seek the lord  ^ 2
their god, and david  ^ 2
of god in the land.  ^ 2
hath a controversy with  ^ 2
the spirit of whoredoms  ^ 2
shall the land mourn,  ^ 2
strive, nor  ^ 2
also shall fall  ^ 2
for judgment  ^ 2
spread upon  ^ 2
hear ye this,  ^ 2
of judah were  ^ 2
walked after  ^ 2
ephraim to  ^ 2
is not hid  ^ 2
and the pride of israel  ^ 2
but they shall not find  ^ 2
for they commit  ^ 2
their god, nor  ^ 2
he stretched out his hand  ^ 2
his hand with  ^ 2
and he knoweth  ^ 2
their iniquity, and visit  ^ 2
fenced cities:  ^ 2
but not by  ^ 2
rejoice not,  ^ 2
for joy,  ^ 2
all their princes  ^ 2
shall not come into  ^ 2
of the lord. what  ^ 2
mine eyes from  ^ 2
come now,  ^ 2
the lord: though  ^ 2
children, and they  ^ 2
the lord hath spoken,  ^ 2
they judge not  ^ 2
unto therefore  ^ 2
that hath no  ^ 2
they have forsaken the lord,  ^ 2
the holy one of israel  ^ 2
there is no soundness  ^ 2
his whole  ^ 2
looks. for  ^ 2
the lord, the holy one  ^ 2
yet a very  ^ 2
from off thy neck,  ^ 2
and what will ye do  ^ 2
behold, the lord,  ^ 2
there shall be a root  ^ 2
a root of jesse,  ^ 2
of his people, which  ^ 2
which shall be left,  ^ 2
they shall lay their hand  ^ 2
shall rest upon  ^ 2
and the lion shall eat  ^ 2
shall eat straw  ^ 2
they shall not hurt  ^ 2
hurt nor  ^ 2
nor destroy  ^ 2
destroy in all  ^ 2
in all my holy  ^ 2
my holy mountain:  ^ 2
for he hath done  ^ 2
for their iniquity;  ^ 2
every one into  ^ 2
and set them in  ^ 2
of hosts. the lord  ^ 2
depart from off  ^ 2
upon the whole  ^ 2
the nations. for  ^ 2
in the year that king  ^ 2
was this  ^ 2
thou, whole philistia,  ^ 2
and it shall come to pass in the day  ^ 2
and say, how  ^ 2
because in the night  ^ 2
of moab is laid waste,  ^ 2
is laid waste, and brought to silence;  ^ 2
and every beard  ^ 2
a cry of destruction.  ^ 2
of three years old: for  ^ 2
of nimrim shall be  ^ 2
desolate: for  ^ 2
that moab  ^ 2
before the wind,  ^ 2
thereof, saith the lord  ^ 2
of israel. at that  ^ 2
the work of his hands,  ^ 2
scattered and peeled,  ^ 2
terrible from  ^ 2
from their beginning  ^ 2
their beginning hitherto;  ^ 2
hitherto; a nation  ^ 2
a nation meted out  ^ 2
land the rivers  ^ 2
so the lord  ^ 2
of the name of the lord  ^ 2
the princes of zoan  ^ 2
of hosts hath purposed  ^ 2
of hosts, which  ^ 2
against in that  ^ 2
in the midst of the land  ^ 2
of hosts in the land  ^ 2
of egypt: for  ^ 2
the lord in that  ^ 2
the work of my hands,  ^ 2
alone shall be exalted  ^ 2
shall be exalted in that  ^ 2
in that day.  ^ 2
and the haughtiness of men  ^ 2
and the lord alone  ^ 2
every one that is proud  ^ 2
and for the glory of his majesty,  ^ 2
of his majesty, when he ariseth  ^ 2
when he ariseth to shake terribly  ^ 2
to shake terribly the earth.  ^ 2
in the top of the mountains,  ^ 2
shall flow unto  ^ 2
established in the top  ^ 2
his idols of silver,  ^ 2
of silver, and his idols  ^ 2
and his idols of gold,  ^ 2
for wherein  ^ 2
unto and many  ^ 2
of the lord, to  ^ 2
the house of the god  ^ 2
of jacob; and he will teach  ^ 2
and he will teach us of his ways,  ^ 2
us of his ways, and we will walk  ^ 2
and we will walk in his paths:  ^ 2
in his paths: for  ^ 2
of the lord from jerusalem.  ^ 2
the mountain of the lord,  ^ 2
from jerusalem. and he shall judge  ^ 2
into plowshares, and their spears  ^ 2
and their spears into pruning hooks:  ^ 2
into pruning hooks: nation  ^ 2
nation shall not  ^ 2
shall not lift up  ^ 2
nation, neither  ^ 2
neither shall they learn  ^ 2
and he shall judge among  ^ 2
shall they learn war  ^ 2
war any more.  ^ 2
many people:  ^ 2
and they shall beat their swords  ^ 2
their swords into plowshares,  ^ 2
neither is there any end  ^ 2
their land also is full  ^ 2
young and old,  ^ 2
watchman, what  ^ 2
what of the night?  ^ 2
hath the lord said  ^ 2
babylon is fallen,  ^ 2
and all the graven images  ^ 2
and he answered and said,  ^ 2
hath spoken the burden  ^ 2
of jerusalem, and the houses  ^ 2
of hosts, surely  ^ 2
this iniquity  ^ 2
of my people. for  ^ 2
of the city of david,  ^ 2
howl, ye ships  ^ 2
after the end of seventy  ^ 2
shall be holiness  ^ 2
for the sea  ^ 2
howl, ye inhabitants  ^ 2
fear, and the pit,  ^ 2
and the pit, and the snare,  ^ 2
shall be taken in the snare:  ^ 2
in the snare: for  ^ 2
and the foundations of the earth  ^ 2
into the pit;  ^ 2
the earth mourneth  ^ 2
the inhabitants thereof; because  ^ 2
thou art my god;  ^ 2
thy name; for  ^ 2
in this mountain  ^ 2
for thou hast made  ^ 2
all people,  ^ 2
from off all  ^ 2
the earth: for  ^ 2
in the land of judah;  ^ 2
they shall not rise:  ^ 2
the lord cometh  ^ 2
the inhabitants of the world  ^ 2
the head of the fat  ^ 2
upon line; here  ^ 2
here a little,  ^ 2
a little, and there  ^ 2
precept upon precept;  ^ 2
upon precept; line  ^ 2
line upon line,  ^ 2
upon line, line  ^ 2
line upon line;  ^ 2
he said, this  ^ 2
when the overflowing  ^ 2
the overflowing scourge  ^ 2
scourge shall pass through,  ^ 2
because ye have said,  ^ 2
with death,  ^ 2
all day  ^ 2
in judgment,  ^ 2
saying, read  ^ 2
read this,  ^ 2
this, i pray thee:  ^ 2
i pray thee: and he saith,  ^ 2
forasmuch as this  ^ 2
as this people  ^ 2
among this  ^ 2
in the holy one of israel.  ^ 2
out of the ground, and thy speech  ^ 2
saith, because  ^ 2
because the daughters  ^ 2
of the daughters of zion,  ^ 2
make me not  ^ 2
children, saith  ^ 2
which say  ^ 2
see not;  ^ 2
no; for  ^ 2
blessed are all  ^ 2
the people shall dwell  ^ 2
neither seek  ^ 2
from the sword,  ^ 2
shall be for  ^ 2
hear my voice,  ^ 2
and thou wast not  ^ 2
and the people shall be  ^ 2
who among us shall dwell  ^ 2
thine eyes shall see  ^ 2
in the time of trouble.  ^ 2
for he dwelleth  ^ 2
no man.  ^ 2
from generation to generation  ^ 2
also shall rest  ^ 2
for my mouth  ^ 2
and all their host  ^ 2
the sword of the lord  ^ 2
of the lord shall return,  ^ 2
shall return, and come  ^ 2
