Phrase ^ Count
and the lord spoke unto moses, saying,  ^ 72
whose fan is in his hand,  ^ 2
fan is in his hand, and  ^ 2
saying, the voice of one crying in the  ^ 2
o generation of vipers, who hath warned you  ^ 2
of vipers, who hath warned you to flee  ^ 2
who hath warned you to flee from  ^ 2
hath warned you to flee from the  ^ 2
you to flee from the wrath  ^ 2
to flee from the wrath to come?  ^ 2
from the wrath to come? bring forth  ^ 2
not to say within yourselves, we have  ^ 2
to say within yourselves, we have abraham  ^ 2
within yourselves, we have abraham to our father:  ^ 2
yourselves, we have abraham to our father: for  ^ 2
we have abraham to our father: for i say  ^ 2
abraham to our father: for i say unto you,  ^ 2
to our father: for i say unto you, that  ^ 2
for i say unto you, that god  ^ 2
the wrath to come? bring forth therefore  ^ 2
i say unto you, that god is able  ^ 2
unto you, that god is able of  ^ 2
that god is able of these  ^ 2
god is able of these stones  ^ 2
is able of these stones to raise up  ^ 2
of these stones to raise up children  ^ 2
these stones to raise up children unto abraham.  ^ 2
wrath to come? bring forth therefore fruits  ^ 2
stones to raise up children unto abraham. and  ^ 2
is laid unto the root of the  ^ 2
unto the root of the trees:  ^ 2
which bringeth not forth good fruit is hewn down, and  ^ 2
to raise up children unto abraham. and now  ^ 2
children unto abraham. and now also  ^ 2
unto abraham. and now also the  ^ 2
and now also the axe  ^ 2
now also the axe is laid  ^ 2
also the axe is laid unto  ^ 2
the axe is laid unto the  ^ 2
axe is laid unto the root  ^ 2
thou dash thy foot against a stone.  ^ 2
thee: and in their hands they shall bear thee up,  ^ 2
and in their hands they shall bear thee up, lest at any time  ^ 2
in their hands they shall bear thee up, lest at any time thou dash  ^ 2
their hands they shall bear thee up, lest at any time thou dash thy  ^ 2
they shall bear thee up, lest at any time thou dash thy foot  ^ 2
lest at any time thou dash thy foot against  ^ 2
thou shalt not tempt the lord thy god.  ^ 2
and jesus answering said unto him,  ^ 2
if thou be the son of god, command  ^ 2
and the devil said unto him,  ^ 2
said unto him, if thou be the son  ^ 2
and they were astonished at his doctrine:  ^ 2
they were astonished at his doctrine: for  ^ 2
art thou come to destroy us? i know thee  ^ 2
to destroy us? i know thee who  ^ 2
saying, let us alone; what have we to do with thee, thou jesus of nazareth?  ^ 2
let us alone; what have we to do with thee, thou jesus of nazareth? art thou come  ^ 2
what have we to do with thee, thou jesus of nazareth? art thou come to destroy  ^ 2
thou jesus of nazareth? art thou come to destroy us?  ^ 2
of nazareth? art thou come to destroy us? i know  ^ 2
hold thy peace, and come out of him.  ^ 2
and come out of him. and  ^ 2
come out of him. and when the  ^ 2
the holy one of god. and jesus  ^ 2
holy one of god. and jesus rebuked  ^ 2
of god. and jesus rebuked him,  ^ 2
and jesus rebuked him, saying,  ^ 2
jesus rebuked him, saying, hold thy peace,  ^ 2
rebuked him, saying, hold thy peace, and  ^ 2
him, saying, hold thy peace, and come  ^ 2
saying, hold thy peace, and come out of  ^ 2
man shall not live by bread  ^ 2
shall not live by bread alone,  ^ 2
live by bread alone, but  ^ 2
by bread alone, but by  ^ 2
bread alone, but by every  ^ 2
alone, but by every word  ^ 2
get thee behind me, satan: for  ^ 2
satan: for it is written, thou shalt worship the lord  ^ 2
for it is written, thou shalt worship the lord thy  ^ 2
it is written, thou shalt worship the lord thy god,  ^ 2
thou shalt worship the lord thy god, and  ^ 2
the lord thy god, and him  ^ 2
thy god, and him only  ^ 2
god, and him only shalt thou serve.  ^ 2
him on a pinnacle of the temple,  ^ 2
on a pinnacle of the temple, and  ^ 2
if thou be the son of god, cast  ^ 2
thou be the son of god, cast thyself  ^ 2
him, saying, lord, if thou wilt,  ^ 2
saying, lord, if thou wilt, thou canst  ^ 2
lord, if thou wilt, thou canst make me clean.  ^ 2
immediately the leprosy departed from  ^ 2
to the priest, and offer for  ^ 2
priest, and offer for thy  ^ 2
commanded, for a testimony unto them. but  ^ 2
sick of the palsy,) i say unto thee, arise, and  ^ 2
i say unto thee, arise, and take up  ^ 2
unto thee, arise, and take up thy  ^ 2
into thine house. and immediately  ^ 2
sitting at the receipt of custom: and  ^ 2
i came not to call the righteous, but  ^ 2
not to call the righteous, but sinners  ^ 2
but sinners to repentance. and  ^ 2
the children of the bridechamber fast,  ^ 2
children of the bridechamber fast, while  ^ 2
of the bridechamber fast, while the  ^ 2
bridechamber fast, while the bridegroom  ^ 2
fast, while the bridegroom is  ^ 2
while the bridegroom is with  ^ 2
bridegroom is with them? but  ^ 2
is with them? but the days  ^ 2
with them? but the days will come,  ^ 2
them? but the days will come, when  ^ 2
will come, when the bridegroom shall be taken away  ^ 2
when the bridegroom shall be taken away from  ^ 2
the bridegroom shall be taken away from them,  ^ 2
and no man putteth new wine  ^ 2
no man putteth new wine into  ^ 2
putteth new wine into old  ^ 2
but new wine must be put into  ^ 2
new wine must be put into new  ^ 2
and his hand was restored whole  ^ 2
his hand was restored whole as  ^ 2
hand was restored whole as the  ^ 2
was restored whole as the other.  ^ 2
whole as the other. and  ^ 2
and judas iscariot, which also  ^ 2
you, and pray for them which despitefully use  ^ 2
ye would that men should do to you,  ^ 2
that men should do to you, do  ^ 2
men should do to you, do ye  ^ 2
for if ye love them which love you,  ^ 2
if ye love them which love you, what  ^ 2
how he went into the house  ^ 2
into the house of god, and  ^ 2
that is in thy brother's eye,  ^ 2
is in thy brother's eye, but  ^ 2
not the beam that is in  ^ 2
the beam that is in thine own  ^ 2
beam that is in thine own eye?  ^ 2
and why beholdest thou the mote  ^ 2
why beholdest thou the mote that  ^ 2
beholdest thou the mote that is in  ^ 2
thou the mote that is in thy  ^ 2
brother, let me pull out the mote  ^ 2
and an evil man out of the  ^ 2
an evil man out of the evil  ^ 2
man out of the evil treasure  ^ 2
a good man out of the good  ^ 2
man out of the good treasure  ^ 2
son of man is lord also  ^ 2
of man is lord also of the  ^ 2
is lord also of the sabbath.  ^ 2
lord also of the sabbath. and  ^ 2
or to do evil? to save life, or  ^ 2
faith, no, not in israel. and  ^ 2
saying, art thou he that should come or  ^ 2
art thou he that should come or look we for  ^ 2
thou he that should come or look we for another?  ^ 2
and blessed is he, whosoever shall not  ^ 2
blessed is he, whosoever shall not be offended  ^ 2
is he, whosoever shall not be offended in  ^ 2
he, whosoever shall not be offended in me.  ^ 2
shall not be offended in me. and  ^ 2
concerning john, what went ye out into  ^ 2
john, what went ye out into the  ^ 2
what went ye out into the wilderness  ^ 2
a reed shaken with the wind? but  ^ 2
clothed in soft raiment? behold,  ^ 2
shaken with the wind? but what  ^ 2
with the wind? but what went ye out  ^ 2
the wind? but what went ye out for to see?  ^ 2
but what went ye out for to see? a man  ^ 2
what went ye out for to see? a man clothed  ^ 2
went ye out for to see? a man clothed in  ^ 2
for to see? a man clothed in soft  ^ 2
a man clothed in soft raiment?  ^ 2
but what went ye out for to see? a prophet?  ^ 2
what went ye out for to see? a prophet? yea,  ^ 2
went ye out for to see? a prophet? yea, i say  ^ 2
for to see? a prophet? yea, i say unto you,  ^ 2
a prophet? yea, i say unto you, and  ^ 2
this is he, of whom it is written,  ^ 2
is he, of whom it is written, behold,  ^ 2
he, of whom it is written, behold, i  ^ 2
whom it is written, behold, i send  ^ 2
it is written, behold, i send my  ^ 2
and saying, we have piped unto you, and  ^ 2
saying, we have piped unto you, and ye have not  ^ 2
we have piped unto you, and ye have not danced;  ^ 2
unto you, and ye have not danced; we have mourned  ^ 2
and a winebibber, a friend of publicans and  ^ 2
he hath a devil. the son of man  ^ 2
jesus answering said unto him,  ^ 2
and he goeth; and to another, come,  ^ 2
he goeth; and to another, come, and  ^ 2
and to another, come, and he cometh;  ^ 2
to another, come, and he cometh; and  ^ 2
come, and he cometh; and to my  ^ 2
and he cometh; and to my servant,  ^ 2
he cometh; and to my servant, do  ^ 2
and to my servant, do this,  ^ 2
to my servant, do this, and  ^ 2
servant, do this, and he doeth  ^ 2
do this, and he doeth when  ^ 2
i say unto you, i have not found so great faith,  ^ 2
unto you, i have not found so great faith, no, not  ^ 2
this, and he doeth when jesus  ^ 2
i have not found so great faith, no, not in  ^ 2
so great faith, no, not in israel.  ^ 2
and he doeth when jesus heard  ^ 2
to know the mysteries of the kingdom  ^ 2
whosoever hath not, from him  ^ 2
not, from him shall be taken even  ^ 2
from him shall be taken even that which  ^ 2
mother and thy brethren stand  ^ 2
and thy brethren stand without,  ^ 2
thy brethren stand without, desiring  ^ 2
into the swine: and the  ^ 2
the swine: and the herd  ^ 2
swine: and the herd ran violently  ^ 2
and the herd ran violently down  ^ 2
the herd ran violently down a steep place  ^ 2
herd ran violently down a steep place into  ^ 2
clothed, and in his right mind: and they were afraid.  ^ 2
an issue of blood twelve years,  ^ 2
the border of his garment: and  ^ 2
peter and they that were with him  ^ 2
thy faith hath made thee whole; go in  ^ 2
and he said unto her, daughter,  ^ 2
save peter, and james, and  ^ 2
the father and the mother  ^ 2
father and the mother of the  ^ 2
and some fell among thorns;  ^ 2
some fell among thorns; and  ^ 2
fell among thorns; and the  ^ 2
among thorns; and the thorns  ^ 2
and other fell on good  ^ 2
other fell on good ground,  ^ 2
fell on good ground, and  ^ 2
he that hath ears to hear, let him hear. and  ^ 2
send the multitude away, that they may go into the  ^ 2
ye them to eat. and they  ^ 2
give ye them to eat. and  ^ 2
and the two fishes, and looking up  ^ 2
the two fishes, and looking up to  ^ 2
two fishes, and looking up to heaven,  ^ 2
the five loaves and the  ^ 2
five loaves and the two  ^ 2
loaves and the two fishes,  ^ 2
whom say ye that i am?  ^ 2
many things, and be rejected of the  ^ 2
of the elders and chief priests  ^ 2
the elders and chief priests and  ^ 2
elders and chief priests and scribes,  ^ 2
and chief priests and scribes, and  ^ 2
the son of man must suffer  ^ 2
son of man must suffer many things,  ^ 2
of man must suffer many things, and  ^ 2
must suffer many things, and be rejected  ^ 2
man will come after me, let him deny  ^ 2
save his life shall lose it:  ^ 2
the same shall save it. for what  ^ 2
shall the son of man be ashamed, when  ^ 2
some standing here, which shall not  ^ 2
standing here, which shall not taste  ^ 2
shall not taste of death, till they see  ^ 2
taste of death, till they see the  ^ 2
there be some standing here, which  ^ 2
master, it is good for us to be  ^ 2
good for us to be here: and  ^ 2
for us to be here: and let us make  ^ 2
to be here: and let us make three  ^ 2
here: and let us make three tabernacles;  ^ 2
and let us make three tabernacles; one  ^ 2
let us make three tabernacles; one for thee,  ^ 2
cloud, saying, this is my  ^ 2
this is my beloved son:  ^ 2
is my beloved son: hear  ^ 2
my beloved son: hear him.  ^ 2
out of the cloud, saying, this  ^ 2
the cloud, saying, this is  ^ 2
beloved son: hear him. and  ^ 2
faithless and perverse generation, how long  ^ 2
and perverse generation, how long shall i be  ^ 2
perverse generation, how long shall i be with  ^ 2
o faithless and perverse generation,  ^ 2
for the son of man shall  ^ 2
receiveth me: and whosoever shall receive  ^ 2
we saw one casting out devils in  ^ 2
one casting out devils in thy  ^ 2
and we forbade him, because he followeth  ^ 2
we forbade him, because he followeth not  ^ 2
master, we saw one casting out devils  ^ 2
for he that is not against  ^ 2
he that is not against us  ^ 2
that is not against us is  ^ 2
i will follow thee whithersoever thou goest. and  ^ 2
birds of the air have nests; but  ^ 2
of the air have nests; but the  ^ 2
air have nests; but the son  ^ 2
have nests; but the son of man  ^ 2
but the son of man hath  ^ 2
the son of man hath not  ^ 2
son of man hath not where  ^ 2
thee whithersoever thou goest. and jesus  ^ 2
of man hath not where to lay  ^ 2
hath not where to lay his head.  ^ 2
not where to lay his head. and  ^ 2
lord, suffer me first to go  ^ 2
let the dead bury their  ^ 2
beloved son, in whom i am well pleased.  ^ 2
casting a net into the sea:  ^ 2
a net into the sea: for  ^ 2
into the sea: for they were  ^ 2
the sea: for they were fishers.  ^ 2
sea: for they were fishers. and  ^ 2
son of zebedee, and john his brother,  ^ 2
authority, and not as the  ^ 2
and not as the scribes.  ^ 2
at his doctrine: for he taught  ^ 2
his doctrine: for he taught them  ^ 2
doctrine: for he taught them as  ^ 2
him, and cried with a loud voice,  ^ 2
with james and john. but  ^ 2
but go thy way, show thyself to the  ^ 2
go thy way, show thyself to the priest,  ^ 2
show thyself to the priest, and  ^ 2
callest thou me good? there is none good  ^ 2
thou me good? there is none good but  ^ 2
good? there is none good but one,  ^ 2
why callest thou me good? there is none  ^ 2
of a needle, than for a rich man to enter into  ^ 2
with god all things are possible.  ^ 2
god all things are possible. then  ^ 2
or brethren, or sisters, or  ^ 2
brethren, or sisters, or father,  ^ 2
or sisters, or father, or  ^ 2
sisters, or father, or mother,  ^ 2
or father, or mother, or  ^ 2
father, or mother, or wife,  ^ 2
or mother, or wife, or  ^ 2
mother, or wife, or children,  ^ 2
or wife, or children, or  ^ 2
wife, or children, or lands,  ^ 2
answered and said, verily i say unto you,  ^ 2
life. but many that are first shall be  ^ 2
but many that are first shall be last;  ^ 2
many that are first shall be last; and  ^ 2
and they shall condemn him to death, and  ^ 2
they shall condemn him to death, and shall deliver  ^ 2
him to death, and shall deliver him  ^ 2
to death, and shall deliver him to the  ^ 2
and he said unto them, what  ^ 2
on thy right hand, and the other  ^ 2
thy right hand, and the other on  ^ 2
of the cup that i drink  ^ 2
be baptized with the baptism that i  ^ 2
you: but whosoever will be  ^ 2
but whosoever will be great  ^ 2
whosoever will be great among  ^ 2
will be great among you,  ^ 2
among you: but whosoever will  ^ 2
came not to be ministered unto, but to minister,  ^ 2
not to be ministered unto, but to minister, and  ^ 2
to be ministered unto, but to minister, and to give  ^ 2
but to minister, and to give his  ^ 2
to minister, and to give his life  ^ 2
and to give his life a ransom  ^ 2
to give his life a ransom for  ^ 2
his life a ransom for many.  ^ 2
the son of man came not  ^ 2
son of man came not to be ministered unto,  ^ 2
of man came not to be ministered unto, but  ^ 2
life a ransom for many. and  ^ 2
they are no more twain, but one  ^ 2
no more twain, but one flesh.  ^ 2
twain, but one flesh. what  ^ 2
but one flesh. what therefore  ^ 2
one flesh. what therefore god  ^ 2
flesh. what therefore god hath joined together,  ^ 2
what therefore god hath joined together, let not  ^ 2
therefore god hath joined together, let not man  ^ 2
god hath joined together, let not man put asunder.  ^ 2
hosanna in the highest. and  ^ 2
them that sold and bought in the  ^ 2
and bought in the temple,  ^ 2
bought in the temple, and  ^ 2
in the temple, and overthrew  ^ 2
the temple, and overthrew the  ^ 2
temple, and overthrew the tables  ^ 2
and overthrew the tables of the  ^ 2
overthrew the tables of the moneychangers,  ^ 2
the tables of the moneychangers, and  ^ 2
tables of the moneychangers, and the  ^ 2
of the moneychangers, and the seats  ^ 2
moneychangers, and the seats of them that sold  ^ 2
and jesus went into the  ^ 2
he sendeth forth two of his disciples, and  ^ 2
two of his disciples, and saith  ^ 2
of his disciples, and saith unto them,  ^ 2
and jesus answering saith unto them,  ^ 2
unto this mountain, be thou removed, and be thou cast  ^ 2
mountain, be thou removed, and be thou cast into  ^ 2
be thou removed, and be thou cast into the  ^ 2
and be thou cast into the sea;  ^ 2
for verily i say unto you, that  ^ 2
the chief priests, and the scribes,  ^ 2
chief priests, and the scribes, and  ^ 2
and the scribes, and the  ^ 2
authority doest thou these things? and who  ^ 2
doest thou these things? and who gave  ^ 2
thou these things? and who gave thee  ^ 2
and who gave thee this  ^ 2
what authority doest thou these things? and  ^ 2
what authority i do these things. the  ^ 2
authority i do these things. the baptism  ^ 2
i do these things. the baptism of john,  ^ 2
believe him? but if we shall say,  ^ 2
him? but if we shall say, of  ^ 2
but if we shall say, of men;  ^ 2
the trees, and strewed them in  ^ 2
trees, and strewed them in the  ^ 2
and strewed them in the way.  ^ 2
spread their garments in the  ^ 2
strewed them in the way. and  ^ 2
and built a tower, and let it out  ^ 2
built a tower, and let it out to husbandmen,  ^ 2
a tower, and let it out to husbandmen, and  ^ 2
the lord's doing, and it is marvelous in  ^ 2
and it is marvelous in our  ^ 2
it is marvelous in our eyes?  ^ 2
master, we know that thou art true,  ^ 2
we know that thou art true, and  ^ 2
teachest the way of god in  ^ 2
unto them, whose is this image and  ^ 2
whose is this image and superscription?  ^ 2
he saith unto them, whose is this image  ^ 2
his wife, and raise up seed  ^ 2
wife, and raise up seed unto his  ^ 2
verily i say unto you, that this  ^ 2
saying, they will reverence my son. but  ^ 2
themselves, this is the heir;  ^ 2
this is the heir; come,  ^ 2
is the heir; come, let us kill  ^ 2
the heir; come, let us kill him,  ^ 2
heir; come, let us kill him, and  ^ 2
among themselves, this is the  ^ 2
it is not ye that speak, but  ^ 2
not ye that speak, but the  ^ 2
the brother to death, and the father  ^ 2
but he that shall endure unto the end, the same  ^ 2
he that shall endure unto the end, the same shall be saved.  ^ 2
ye shall be hated of all men for my name's sake:  ^ 2
hated of all men for my name's sake: but  ^ 2
of desolation, spoken of by daniel the  ^ 2
spoken of by daniel the prophet,  ^ 2
the abomination of desolation, spoken of by  ^ 2
abomination of desolation, spoken of by daniel  ^ 2
and to them that give suck in those days!  ^ 2
pray ye that your flight be  ^ 2
ye that your flight be not  ^ 2
and the moon shall not give  ^ 2
the moon shall not give her  ^ 2
moon shall not give her light,  ^ 2
shall not give her light, and  ^ 2
give her light, and the  ^ 2
her light, and the stars  ^ 2
his elect from the four  ^ 2
elect from the four winds,  ^ 2
from the four winds, from  ^ 2
branch is yet tender, and  ^ 2
is yet tender, and putteth forth  ^ 2
yet tender, and putteth forth leaves,  ^ 2
tender, and putteth forth leaves, ye know  ^ 2
and putteth forth leaves, ye know that  ^ 2
putteth forth leaves, ye know that summer  ^ 2
now learn a parable of the  ^ 2
learn a parable of the fig tree;  ^ 2
a parable of the fig tree; when  ^ 2
that shall not be thrown down. and as he  ^ 2
shall not be thrown down. and as he sat  ^ 2
be thrown down. and as he sat upon  ^ 2
and as he sat upon the  ^ 2
as he sat upon the mount  ^ 2
generation shall not pass, till all  ^ 2
shall not pass, till all these things  ^ 2
even at the doors. verily i say unto you,  ^ 2
this generation shall not pass, till  ^ 2
my words shall not pass away. but  ^ 2
knoweth no man, no, not the angels  ^ 2
words shall not pass away. but of  ^ 2
shall not pass away. but of that  ^ 2
pass away. but of that day  ^ 2
but of that day and  ^ 2
for ye know not when the  ^ 2
tell us, when shall these things be?  ^ 2
us, when shall these things be? and  ^ 2
when shall these things be? and what  ^ 2
shall these things be? and what shall be the  ^ 2
be? and what shall be the sign  ^ 2
kingdom against kingdom: and there shall be  ^ 2
for nation shall rise against nation,  ^ 2
and kings for my sake, for a testimony  ^ 2
with the twelve. and as they  ^ 2
but they said, not on the  ^ 2
they said, not on the feast  ^ 2
not on the feast day, lest  ^ 2
on the feast day, lest there be  ^ 2
the feast day, lest there be an uproar  ^ 2
but woe to that man by  ^ 2
woe to that man by whom  ^ 2
to that man by whom the  ^ 2
man by whom the son  ^ 2
by whom the son of man  ^ 2
whom the son of man is betrayed!  ^ 2
this is my body. and  ^ 2
is my body. and he took  ^ 2
my body. and he took the  ^ 2
body. and he took the cup,  ^ 2
my blood of the new  ^ 2
blood of the new testament,  ^ 2
of the new testament, which is shed  ^ 2
the new testament, which is shed for  ^ 2
this is my blood of  ^ 2
is my blood of the  ^ 2
fruit of the vine, until that  ^ 2
of the vine, until that day  ^ 2
and when they had sung a hymn, they went out into the  ^ 2
when they had sung a hymn, they went out into the mount  ^ 2
they went out into the mount of olives.  ^ 2
because of me this night: for  ^ 2
this night: for it is written, i will smite  ^ 2
night: for it is written, i will smite the  ^ 2
for it is written, i will smite the shepherd,  ^ 2
it is written, i will smite the shepherd, and  ^ 2
i will smite the shepherd, and the  ^ 2
the shepherd, and the sheep  ^ 2
crow twice, thou shalt deny me thrice.  ^ 2
unto him, verily i say unto thee, that  ^ 2
saith unto them, sleep on now, and  ^ 2
the son of man is betrayed into  ^ 2
and saith unto them, sleep on now,  ^ 2
and with him a great multitude  ^ 2
with him a great multitude with  ^ 2
him a great multitude with swords  ^ 2
a great multitude with swords and  ^ 2
multitude with swords and staves,  ^ 2
with swords and staves, from  ^ 2
swords and staves, from the  ^ 2
and staves, from the chief priests  ^ 2
staves, from the chief priests and  ^ 2
saying, whomsoever i shall kiss, that same is  ^ 2
master; and kissed him. and  ^ 2
answerest thou nothing? what is it which these witness against  ^ 2
thou nothing? what is it which these witness against thee?  ^ 2
what is it which these witness against thee? but  ^ 2
the son of man sitting on  ^ 2
son of man sitting on the right hand  ^ 2
of man sitting on the right hand of power,  ^ 2
sitting on the right hand of power, and  ^ 2
on the right hand of power, and coming  ^ 2
the right hand of power, and coming in  ^ 2
of power, and coming in the  ^ 2
and coming in the clouds  ^ 2
coming in the clouds of heaven.  ^ 2
in the clouds of heaven. then  ^ 2
the clouds of heaven. then the  ^ 2
clouds of heaven. then the high priest  ^ 2
of heaven. then the high priest rent  ^ 2
then the high priest rent his  ^ 2
the high priest rent his clothes,  ^ 2
me. for ye have the poor  ^ 2
verily i say unto you, wheresoever this  ^ 2
i say unto you, wheresoever this gospel  ^ 2
unto you, wheresoever this gospel shall be preached  ^ 2
to bear his cross. and  ^ 2
thou that destroyest the temple, and buildest  ^ 2
the temple, and buildest it in  ^ 2
temple, and buildest it in three  ^ 2
and buildest it in three days,  ^ 2
him, wagging their heads, and  ^ 2
wagging their heads, and saying,  ^ 2
buildest it in three days, save  ^ 2
come down from the cross.   ^ 2
he saved others; himself he cannot save.  ^ 2
from the cross.  likewise  ^ 2
the cross.  likewise also  ^ 2
cross.  likewise also the  ^ 2
 likewise also the chief priests  ^ 2
likewise also the chief priests mocking  ^ 2
my god, my god, why  ^ 2
god, my god, why hast thou forsaken  ^ 2
my god, why hast thou forsaken me?  ^ 2
ninth hour jesus cried with a loud  ^ 2
hour jesus cried with a loud voice,  ^ 2
jesus cried with a loud voice, saying,  ^ 2
was rent in twain from the top  ^ 2
in twain from the top to  ^ 2
veil of the temple was rent in  ^ 2
of the temple was rent in twain  ^ 2
temple was rent in twain from  ^ 2
was mary magdalene, and mary  ^ 2
magdalene, and mary the mother  ^ 2
and mary the mother of james  ^ 2
son of man hath power on  ^ 2
of man hath power on earth  ^ 2
hath power on earth to forgive  ^ 2
power on earth to forgive sins,  ^ 2
arise, and take up thy bed,  ^ 2
and take up thy bed, and  ^ 2
disciples of john and of the  ^ 2
of john and of the pharisees  ^ 2
but thy disciples fast not?  ^ 2
thy disciples fast not? and  ^ 2
disciples fast not? and jesus  ^ 2
fast not? and jesus said  ^ 2
not? and jesus said unto them,  ^ 2
and jesus said unto them, can  ^ 2
jesus said unto them, can the  ^ 2
said unto them, can the children  ^ 2
unto them, can the children of the  ^ 2
can the children of the bridechamber  ^ 2
into old bottles: else the  ^ 2
new wine into old bottles:  ^ 2
wine into old bottles: else  ^ 2
read what david did, when  ^ 2
and did eat the shewbread, which  ^ 2
thy sins be forgiven thee; or to say,  ^ 2
be forgiven thee; or to say, arise,  ^ 2
thee; or to say, arise, and  ^ 2
charged them that they should not make  ^ 2
them that they should not make him  ^ 2
simon the canaanite, and judas  ^ 2
the canaanite, and judas iscariot,  ^ 2
and then he will spoil his house.  ^ 2
unto him, behold, thy mother and  ^ 2
behold, thy mother and thy  ^ 2
and said, behold my mother and  ^ 2
behold my mother and my  ^ 2
my mother and my brethren!  ^ 2
mother and my brethren! for  ^ 2
the same is my brother, and  ^ 2
and my brethren! for whosoever  ^ 2
my brethren! for whosoever shall do  ^ 2
brethren! for whosoever shall do the  ^ 2
for whosoever shall do the will  ^ 2
against him, how they might destroy him.  ^ 2
him, how they might destroy him. but  ^ 2
ears to hear, let him hear. and when  ^ 2
of this world, and the deceitfulness  ^ 2
world, and the deceitfulness of riches,  ^ 2
some sixty, and some a hundred.  ^ 2
sixty, and some a hundred. and  ^ 2
and some a hundred. and he said  ^ 2
some a hundred. and he said unto them,  ^ 2
if any man have ears to hear, let him hear.  ^ 2
have ears to hear, let him hear. and  ^ 2
without a parable spake he not unto them:  ^ 2
by the way side, and the  ^ 2
the way side, and the fowls  ^ 2
what manner of man is this, that even  ^ 2
is this, that even the  ^ 2
the devils besought him, saying,  ^ 2
down a steep place into the sea,  ^ 2
is not dead, but sleepeth. and they laughed him to scorn.  ^ 2
but sleepeth. and they laughed him to scorn. but  ^ 2
verily i say unto you, it shall be more tolerable  ^ 2
and gomorrah in the day of judgment,  ^ 2
gomorrah in the day of judgment, than  ^ 2
in the day of judgment, than for that  ^ 2
the day of judgment, than for that city.  ^ 2
and whosoever shall not receive you,  ^ 2
whosoever shall not receive you, nor  ^ 2
shall not receive you, nor hear  ^ 2
and therefore mighty works do show forth themselves in  ^ 2
therefore mighty works do show forth themselves in him.  ^ 2
prison for herodias' sake, his brother philip's  ^ 2
the head of john the baptist.  ^ 2
head of john the baptist. and  ^ 2
saith unto them, how many loaves have  ^ 2
him. but jesus said unto them,  ^ 2
but jesus said unto them, a prophet  ^ 2
jesus said unto them, a prophet is  ^ 2
said unto them, a prophet is not  ^ 2
unto them, a prophet is not without honor,  ^ 2
and in his own house. and  ^ 2
of his garment: and as many as touched  ^ 2
by whatsoever thou mightest be profited by me; and  ^ 2
it is not meet to take the  ^ 2
not meet to take the children's  ^ 2
meet to take the children's bread,  ^ 2
to take the children's bread, and  ^ 2
the children's bread, and to cast  ^ 2
and he charged them that they should tell  ^ 2
me, teaching for doctrines the commandments of men.  ^ 2
beware of the leaven of the  ^ 2
how many baskets full of fragments took ye up?  ^ 2
three days, and have nothing  ^ 2
days, and have nothing to eat:  ^ 2
i have compassion on the multitude, because  ^ 2
and have nothing to eat: and  ^ 2
and scribes, and be killed, and  ^ 2
peter took him, and began to rebuke  ^ 2
for thou savorest not the things that be of god,  ^ 2
thou savorest not the things that be of god, but  ^ 2
himself, and take up his cross,  ^ 2
and take up his cross, and  ^ 2
take up his cross, and follow  ^ 2
his cross, and follow me.  ^ 2
cross, and follow me. for  ^ 2
he shall gain the whole world, and  ^ 2
whole world, and lose his own  ^ 2
world, and lose his own soul?  ^ 2
if he shall gain the whole world,  ^ 2
and lose his own soul? or  ^ 2
lose his own soul? or what  ^ 2
his own soul? or what shall a man  ^ 2
soul? or what shall a man give  ^ 2
or what shall a man give in exchange  ^ 2
what shall a man give in exchange for his  ^ 2
shall a man give in exchange for his soul?  ^ 2
in the glory of his father  ^ 2
the glory of his father with  ^ 2
how many loaves have ye? and they  ^ 2
loaves have ye? and they said,  ^ 2
the scribes that elijah must  ^ 2
scribes that elijah must first  ^ 2
but i say unto you, that elijah  ^ 2
generation, how long shall i be with you?  ^ 2
how long shall i be with you? how long  ^ 2
shall i be with you? how long shall i suffer  ^ 2
with you? how long shall i suffer you?  ^ 2
you? how long shall i suffer you? bring  ^ 2
how long shall i suffer you? bring him  ^ 2
and after six days jesus  ^ 2
after six days jesus taketh  ^ 2
why could not we cast him out?  ^ 2
and when he was come into the house,  ^ 2
could not we cast him out? and  ^ 2
but by prayer and fasting.  ^ 2
by prayer and fasting. and  ^ 2
said unto them, the son of man  ^ 2
thee, cut it off: it is better for thee  ^ 2
cut it off: it is better for thee to enter  ^ 2
into hell, into the fire  ^ 2
hell, into the fire that never shall be quenched:  ^ 2
offend thee, cut it off: it is better  ^ 2
into the fire that never shall be quenched: where  ^ 2
the fire that never shall be quenched: where their  ^ 2
fire that never shall be quenched: where their worm  ^ 2
that never shall be quenched: where their worm dieth  ^ 2
the fire is not quenched. and  ^ 2
fire is not quenched. and if  ^ 2
two eyes to be cast into hell  ^ 2
and if thine eye offend  ^ 2
if thine eye offend thee,  ^ 2
one for moses, and one for elijah.  ^ 2
and a voice came out of the  ^ 2
and as they came down from the  ^ 2
as they came down from the mountain,  ^ 2
begat jacob; and jacob begat  ^ 2
it might be fulfilled which was spoken of the  ^ 2
which was spoken of the lord  ^ 2
was spoken of the lord by  ^ 2
of the lord by the  ^ 2
the lord by the prophet,  ^ 2
lord by the prophet, saying,  ^ 2
all this was done, that it might be fulfilled  ^ 2
that it might be fulfilled which was spoken of  ^ 2
before my father which is in  ^ 2
father which is in heaven. think  ^ 2
which is in heaven. think not  ^ 2
