Phrase ^ Count
thus saith the lord  ^ 223
moon shall not give  ^ 2
shall not give her  ^ 2
give her light,  ^ 2
her light, and  ^ 2
light, and the  ^ 2
the stars of heaven  ^ 2
and the powers  ^ 2
his elect from  ^ 2
elect from the  ^ 2
the four winds,  ^ 2
four winds, from  ^ 2
branch is yet  ^ 2
is yet tender,  ^ 2
yet tender, and  ^ 2
tender, and putteth forth  ^ 2
and putteth forth leaves,  ^ 2
putteth forth leaves, ye know  ^ 2
leaves, ye know that  ^ 2
ye know that summer  ^ 2
now learn a parable  ^ 2
learn a parable of  ^ 2
a parable of the  ^ 2
of the fig tree;  ^ 2
the fig tree; when  ^ 2
know that it is  ^ 2
peter and james  ^ 2
be thrown down. and as he  ^ 2
asked him privately,  ^ 2
and as he sat  ^ 2
as he sat upon  ^ 2
sat upon the  ^ 2
upon the mount  ^ 2
even at the doors. verily  ^ 2
pass, till all  ^ 2
till all these things  ^ 2
the doors. verily i say  ^ 2
generation shall not pass,  ^ 2
shall not pass, till  ^ 2
shall not pass away. but  ^ 2
no man, no, not the  ^ 2
the son, but  ^ 2
son, but the  ^ 2
pass away. but of  ^ 2
but of that  ^ 2
of that day  ^ 2
that day and  ^ 2
knoweth no man, no, not  ^ 2
ye know not when  ^ 2
not when the  ^ 2
tell us, when  ^ 2
us, when shall these things  ^ 2
when shall these things be?  ^ 2
shall these things be? and  ^ 2
and what shall be the  ^ 2
what shall be the sign  ^ 2
of wars and rumors  ^ 2
kingdom: and there shall be  ^ 2
for nation shall rise  ^ 2
and kings for my sake,  ^ 2
kings for my sake, for  ^ 2
for my sake, for a testimony  ^ 2
for a testimony against them.  ^ 2
the feast of the passover, and  ^ 2
unto the chief priests,  ^ 2
the passover? and  ^ 2
unto them, go ye into  ^ 2
follow him. and  ^ 2
the master saith,  ^ 2
twelve. and as they  ^ 2
said, verily i say  ^ 2
shall betray me. and  ^ 2
is it i? and  ^ 2
but they said, not  ^ 2
they said, not on  ^ 2
on the feast  ^ 2
the feast day, lest  ^ 2
feast day, lest there be  ^ 2
day, lest there be an uproar  ^ 2
it i? and he  ^ 2
of him: but  ^ 2
him: but woe  ^ 2
but woe to that  ^ 2
woe to that man  ^ 2
to that man by  ^ 2
whom the son  ^ 2
son of man is betrayed!  ^ 2
as it is written of  ^ 2
and said, take,  ^ 2
is my body.  ^ 2
and as they did eat,  ^ 2
jesus took bread,  ^ 2
my body. and  ^ 2
body. and he took  ^ 2
he took the cup,  ^ 2
of the new  ^ 2
the new testament,  ^ 2
new testament, which is shed  ^ 2
testament, which is shed for  ^ 2
he said unto them, this  ^ 2
is my blood  ^ 2
my blood of  ^ 2
blood of the  ^ 2
vine, until that  ^ 2
until that day  ^ 2
i drink it new  ^ 2
and when they had sung a hymn, they went out  ^ 2
when they had sung a hymn, they went out into  ^ 2
they went out into the  ^ 2
into the mount  ^ 2
this night: for  ^ 2
night: for it is written,  ^ 2
for it is written, i will smite  ^ 2
it is written, i will smite the  ^ 2
i will smite the shepherd,  ^ 2
the shepherd, and  ^ 2
shepherd, and the  ^ 2
because of me this  ^ 2
i will go before you into  ^ 2
you into galilee.  ^ 2
of simon the leper,  ^ 2
a woman having an alabaster box  ^ 2
this night, before  ^ 2
crow twice, thou shalt deny  ^ 2
twice, thou shalt deny me  ^ 2
i say unto thee, that  ^ 2
likewise also said  ^ 2
disciples, sit ye here,  ^ 2
sit ye here, while  ^ 2
death: tarry ye here,  ^ 2
tarry ye here, and  ^ 2
my soul is  ^ 2
i will, but  ^ 2
and findeth them  ^ 2
and saith unto peter,  ^ 2
one hour? watch  ^ 2
but the flesh  ^ 2
the flesh is weak.  ^ 2
the same words.  ^ 2
their eyes were  ^ 2
sleep on now, and  ^ 2
of man is betrayed into  ^ 2
saith unto them, sleep on  ^ 2
unto them, sleep on now,  ^ 2
with him a great  ^ 2
him a great multitude  ^ 2
a great multitude with  ^ 2
multitude with swords  ^ 2
swords and staves,  ^ 2
and staves, from  ^ 2
staves, from the  ^ 2
whomsoever i shall kiss, that same  ^ 2
i shall kiss, that same is  ^ 2
saying, whomsoever i shall kiss,  ^ 2
master; and kissed  ^ 2
and took him.  ^ 2
him, and took  ^ 2
forsook him, and fled.  ^ 2
him, and fled. and  ^ 2
of the high priest: and  ^ 2
with the servants,  ^ 2
peter followed him  ^ 2
she hath wrought a good work  ^ 2
answerest thou nothing? what  ^ 2
thou nothing? what is it which these  ^ 2
what is it which these witness against  ^ 2
is it which these witness against thee?  ^ 2
witness against thee? but  ^ 2
son of man sitting  ^ 2
of man sitting on  ^ 2
sitting on the right hand  ^ 2
on the right hand of power,  ^ 2
the right hand of power, and  ^ 2
of power, and coming  ^ 2
and coming in  ^ 2
the clouds of heaven.  ^ 2
clouds of heaven. then  ^ 2
of heaven. then the  ^ 2
the high priest rent  ^ 2
high priest rent his  ^ 2
rent his clothes,  ^ 2
his face, and  ^ 2
there cometh one of the  ^ 2
with jesus of nazareth.  ^ 2
thou sayest. and  ^ 2
on me. for  ^ 2
me. for ye have  ^ 2
for ye have the  ^ 2
ye have the poor  ^ 2
with you always,  ^ 2
and to swear, saying, i know  ^ 2
to swear, saying, i know not  ^ 2
crew. and peter  ^ 2
for a memorial of her.  ^ 2
i say unto you, wheresoever  ^ 2
unto you, wheresoever this  ^ 2
wheresoever this gospel  ^ 2
this gospel shall be preached  ^ 2
of the jews? for  ^ 2
for he knew that  ^ 2
and they cried out  ^ 2
what evil hath he done?  ^ 2
crucify him. and  ^ 2
to bear his  ^ 2
bear his cross.  ^ 2
his cross. and  ^ 2
his garments, casting  ^ 2
thou that destroyest the temple,  ^ 2
temple, and buildest  ^ 2
and buildest it in  ^ 2
buildest it in three  ^ 2
it in three days,  ^ 2
him, wagging their  ^ 2
wagging their heads,  ^ 2
heads, and saying,  ^ 2
three days, save  ^ 2
from the cross.  ^ 2
the cross.   ^ 2
he saved others; himself  ^ 2
others; himself he cannot  ^ 2
himself he cannot save.  ^ 2
cross.  likewise  ^ 2
 likewise also  ^ 2
also the chief priests  ^ 2
the chief priests mocking  ^ 2
from the cross,  ^ 2
there was darkness over  ^ 2
my god, my  ^ 2
god, my god,  ^ 2
my god, why  ^ 2
god, why hast thou forsaken  ^ 2
why hast thou forsaken me?  ^ 2
ninth hour jesus  ^ 2
hour jesus cried  ^ 2
let us see whether elijah  ^ 2
whether elijah will come  ^ 2
and put it on a reed,  ^ 2
twain from the top  ^ 2
from the top to  ^ 2
temple was rent in  ^ 2
was rent in twain  ^ 2
in twain from  ^ 2
was the son of god.  ^ 2
the mother of james  ^ 2
now when the even was come,  ^ 2
now at that feast  ^ 2
because they believed not  ^ 2
all the world,  ^ 2
stone from the  ^ 2
the stone from  ^ 2
he is not here:  ^ 2
and he saith  ^ 2
he goeth before you into  ^ 2
hath power on  ^ 2
power on earth  ^ 2
on earth to forgive  ^ 2
said unto him, follow  ^ 2
many publicans and  ^ 2
and they followed him.  ^ 2
they followed him. and  ^ 2
disciples of john and  ^ 2
of john and of  ^ 2
but thy disciples  ^ 2
thy disciples fast  ^ 2
disciples fast not?  ^ 2
fast not? and  ^ 2
not? and jesus  ^ 2
said unto them, can  ^ 2
unto them, can the  ^ 2
can the children  ^ 2
them, and then  ^ 2
the rent is made worse.  ^ 2
a piece of new cloth  ^ 2
bottles: else the  ^ 2
and the wine  ^ 2
into old bottles:  ^ 2
old bottles: else  ^ 2
read what david  ^ 2
and did eat the  ^ 2
did eat the shewbread,  ^ 2
the shewbread, which  ^ 2
with him? and  ^ 2
sins be forgiven thee.  ^ 2
when jesus saw  ^ 2
unto them, why reason  ^ 2
or to say, arise,  ^ 2
to say, arise, and  ^ 2
thy sins be forgiven thee;  ^ 2
charged them that  ^ 2
that they should not make  ^ 2
they should not make him  ^ 2
and james the  ^ 2
and john the  ^ 2
john the brother  ^ 2
simon the canaanite,  ^ 2
the canaanite, and  ^ 2
canaanite, and judas  ^ 2
said unto them in  ^ 2
unto them in parables,  ^ 2
be divided against itself,  ^ 2
against itself, that  ^ 2
cannot stand. and  ^ 2
stand. and if  ^ 2
and if satan  ^ 2
his goods, except  ^ 2
and then he will spoil  ^ 2
then he will spoil his  ^ 2
he will spoil his house.  ^ 2
enter into a strong man's  ^ 2
into a strong man's house,  ^ 2
i say unto you, all  ^ 2
they might accuse him. and  ^ 2
behold, thy mother  ^ 2
my brethren? and  ^ 2
behold my mother  ^ 2
and my brethren!  ^ 2
and said, behold my  ^ 2
my brethren! for  ^ 2
is my brother,  ^ 2
sister, and mother.  ^ 2
brethren! for whosoever  ^ 2
for whosoever shall do  ^ 2
whosoever shall do the  ^ 2
shall do the will  ^ 2
the same is my  ^ 2
man, stretch forth thine  ^ 2
against him, how  ^ 2
him, how they might destroy  ^ 2
how they might destroy him.  ^ 2
they might destroy him. but  ^ 2
the sea: and  ^ 2
from jerusalem, and  ^ 2
on the land.  ^ 2
let him hear. and when  ^ 2
the parable. and  ^ 2
or persecution ariseth  ^ 2
these are they which are sown  ^ 2
choke the word,  ^ 2
of this world, and  ^ 2
and the deceitfulness  ^ 2
the deceitfulness of riches,  ^ 2
and said unto them  ^ 2
some sixty, and  ^ 2
sixty, and some  ^ 2
and some a hundred.  ^ 2
some a hundred. and  ^ 2
a hundred. and he said  ^ 2
if any man have ears  ^ 2
have ears to hear,  ^ 2
what measure ye mete,  ^ 2
with what measure  ^ 2
even that which he hath.  ^ 2
that which he hath. and  ^ 2
be in the  ^ 2
in the earth:  ^ 2
in the earth,  ^ 2
without a parable spake  ^ 2
a parable spake he not  ^ 2
spake he not unto them:  ^ 2
unto the other side.  ^ 2
the other side. and  ^ 2
and the wind  ^ 2
there was a great calm.  ^ 2
he arose, and rebuked the  ^ 2
way side, and the  ^ 2
the way side, and  ^ 2
is this, that  ^ 2
this, that even  ^ 2
that even the  ^ 2
the sea obey  ^ 2
what manner of man is this,  ^ 2
the devils besought  ^ 2
devils besought him,  ^ 2
besought him, saying,  ^ 2
in the sea.  ^ 2
their coasts. and  ^ 2
was come into the  ^ 2
him not, but  ^ 2
unto the other side,  ^ 2
and she shall live. and  ^ 2
and no man could  ^ 2
and told him  ^ 2
james, and john  ^ 2
and he cometh to  ^ 2
is not dead, but sleepeth.  ^ 2
he saith unto them, why  ^ 2
sleepeth. and they laughed him to scorn.  ^ 2
and they laughed him to scorn. but  ^ 2
the mountains, and  ^ 2
and worshiped him,  ^ 2
came into his own  ^ 2
shake off the dust  ^ 2
under your feet  ^ 2
and gomorrah in  ^ 2
gomorrah in the day  ^ 2
and whosoever shall not  ^ 2
of judgment, than for that  ^ 2
shall not receive you,  ^ 2
receive you, nor  ^ 2
you, nor hear  ^ 2
and therefore mighty works  ^ 2
therefore mighty works do show forth  ^ 2
mighty works do show forth themselves in  ^ 2
do show forth themselves in him.  ^ 2
said, that it is  ^ 2
others said, that  ^ 2
he is risen from  ^ 2
and bound him  ^ 2
prison for herodias' sake, his  ^ 2
for herodias' sake, his brother  ^ 2
it is not lawful for thee to have  ^ 2
the head of john  ^ 2
head of john the  ^ 2
of john the baptist.  ^ 2
to the damsel: and  ^ 2
in a charger, and  ^ 2
was moved with compassion toward them,  ^ 2
him. and jesus,  ^ 2
and he began to teach  ^ 2
and was moved with compassion toward  ^ 2
this is a desert place,  ^ 2
disciples came unto him,  ^ 2
they say unto him,  ^ 2
and give them  ^ 2
and two fishes.  ^ 2
saith unto them, how many  ^ 2
unto them, how many loaves  ^ 2
his own country, and  ^ 2
and in his own  ^ 2
in his own house.  ^ 2
said unto them, a prophet  ^ 2
unto them, a prophet is  ^ 2
a prophet is not  ^ 2
is not without honor,  ^ 2
disciples to set before  ^ 2
were about five thousand  ^ 2
his disciples to get  ^ 2
disciples to get into  ^ 2
of the sea, and  ^ 2
when even was come, the  ^ 2
watch of the night  ^ 2
unto them, walking  ^ 2
walking upon the  ^ 2
for the wind  ^ 2
the wind was  ^ 2
i; be not afraid. and  ^ 2
they came into the  ^ 2
in the streets,  ^ 2
garment: and as many as  ^ 2
and as many as touched  ^ 2
because of their unbelief.  ^ 2
and gave them  ^ 2
father or mother,  ^ 2
or mother, let him die  ^ 2
by whatsoever thou mightest be profited by  ^ 2
thou mightest be profited by me;  ^ 2
but ye say,  ^ 2
shall say to his father or  ^ 2
by me; and  ^ 2
father or his  ^ 2
and when he was entered  ^ 2
when he was entered into  ^ 2
into the belly,  ^ 2
the belly, and  ^ 2
that which cometh out of the  ^ 2
out of the heart  ^ 2
proceed evil thoughts,  ^ 2
defile the man.  ^ 2
the woman was  ^ 2
it is not meet  ^ 2
not meet to take  ^ 2
meet to take the  ^ 2
to take the children's  ^ 2
the children's bread,  ^ 2
children's bread, and  ^ 2
bread, and to cast  ^ 2
lord: yet the  ^ 2
yet the dogs  ^ 2
eat of the  ^ 2
the tradition of the  ^ 2
the coasts of tyre  ^ 2
coasts of tyre and  ^ 2
him. and he took  ^ 2
then the pharisees  ^ 2
but their heart  ^ 2
me, teaching for doctrines  ^ 2
teaching for doctrines the commandments  ^ 2
for doctrines the commandments of men.  ^ 2
the commandment of god,  ^ 2
jesus called his  ^ 2
called his disciples  ^ 2
into the parts  ^ 2
how many baskets full  ^ 2
baskets full of fragments  ^ 2
full of fragments took ye up?  ^ 2
three days, and  ^ 2
days, and have  ^ 2
and have nothing  ^ 2
have nothing to eat:  ^ 2
i have compassion on the  ^ 2
on the multitude,  ^ 2
they said, seven.  ^ 2
said, seven. and  ^ 2
by the way  ^ 2
he asked his disciples,  ^ 2
disciples, saying unto them,  ^ 2
whom do men say  ^ 2
do men say that i  ^ 2
and jesus went out,  ^ 2
that i am? and  ^ 2
am? and they  ^ 2
nothing to eat: and  ^ 2
scribes, and be killed,  ^ 2
and be killed, and  ^ 2
him, and began to rebuke  ^ 2
peter took him,  ^ 2
took him, and began  ^ 2
for thou savorest not  ^ 2
thou savorest not the things  ^ 2
not the things that be of god,  ^ 2
the things that be of god, but  ^ 2
take up his cross,  ^ 2
cross, and follow  ^ 2
and lose his own  ^ 2
lose his own soul?  ^ 2
if he shall gain the  ^ 2
he shall gain the whole  ^ 2
his own soul? or  ^ 2
soul? or what  ^ 2
or what shall a man  ^ 2
what shall a man give  ^ 2
shall a man give in exchange  ^ 2
give in exchange for his  ^ 2
in exchange for his soul?  ^ 2
in the glory  ^ 2
glory of his father  ^ 2
of his father with  ^ 2
loaves have ye? and  ^ 2
have ye? and they  ^ 2
he took the seven  ^ 2
and they that had eaten were  ^ 2
they that had eaten were about  ^ 2
that elijah must  ^ 2
elijah must first  ^ 2
scribes that elijah  ^ 2
unto you, that elijah  ^ 2
shall i be with you?  ^ 2
with you? how long  ^ 2
you? how long shall i suffer  ^ 2
how long shall i suffer you?  ^ 2
shall i suffer you? bring  ^ 2
you? bring him  ^ 2
into a high mountain  ^ 2
and after six  ^ 2
after six days  ^ 2
six days jesus  ^ 2
days jesus taketh  ^ 2
why could not  ^ 2
could not we  ^ 2
not we cast him out?  ^ 2
we cast him out? and  ^ 2
but by prayer  ^ 2
by prayer and  ^ 2
prayer and fasting.  ^ 2
and fasting. and  ^ 2
unto them, the son  ^ 2
but jesus said,  ^ 2
lose his reward.  ^ 2
his reward. and  ^ 2
reward. and whosoever  ^ 2
having two hands  ^ 2
into hell, into  ^ 2
hell, into the  ^ 2
into the fire  ^ 2
the fire that never shall be quenched:  ^ 2
if thy hand  ^ 2
hand offend thee,  ^ 2
offend thee, cut it off:  ^ 2
thee, cut it off: it is  ^ 2
cut it off: it is better  ^ 2
fire that never shall be quenched: where  ^ 2
that never shall be quenched: where their  ^ 2
is not quenched. and  ^ 2
two feet to be cast  ^ 2
quenched. and if  ^ 2
feet to be cast into  ^ 2
thy foot offend  ^ 2
foot offend thee,  ^ 2
two eyes to be cast  ^ 2
eyes to be cast into  ^ 2
to be cast into hell  ^ 2
and if thine  ^ 2
thine eye offend  ^ 2
and one for elijah.  ^ 2
peter answered and said  ^ 2
a voice came out of  ^ 2
till the son  ^ 2
and as they came down  ^ 2
as they came down from  ^ 2
came down from the  ^ 2
begat jacob; and  ^ 2
jacob; and jacob  ^ 2
and jacob begat  ^ 2
are fourteen generations; and  ^ 2
generations; and from  ^ 2
the carrying away into babylon  ^ 2
in a dream, saying,  ^ 2
was spoken of the  ^ 2
the lord by  ^ 2
lord by the  ^ 2
was done, that it might be fulfilled  ^ 2
which was spoken of  ^ 2
all manner of sickness and  ^ 2
of sickness and all manner  ^ 2
worthy, let your peace  ^ 2
it shall be more tolerable for the land  ^ 2
peter, and andrew  ^ 2
of the twelve apostles  ^ 2
before my father  ^ 2
is in heaven. think  ^ 2
heaven. think not  ^ 2
think not that  ^ 2
not that i am come  ^ 2
more than me is  ^ 2
than me is not  ^ 2
not worthy of me.  ^ 2
life for my sake shall find  ^ 2
for my sake shall find it.  ^ 2
shall lose it: and  ^ 2
the lost sheep of the house  ^ 2
sheep of the house of israel.  ^ 2
for john came  ^ 2
drinking, and they say,  ^ 2
eating and drinking,  ^ 2
if the mighty works,  ^ 2
that time jesus  ^ 2
disciples, and said unto him,  ^ 2
and he healed them  ^ 2
which was spoken by isaiah  ^ 2
when the pharisees saw  ^ 2
pharisees saw it, they said  ^ 2
and in his  ^ 2
devils. and jesus  ^ 2
make the tree  ^ 2
and his fruit  ^ 2
for out of the  ^ 2
for by thy  ^ 2
by thy words  ^ 2
adulterous generation seeketh after  ^ 2
generation seeketh after a sign;  ^ 2
seeketh after a sign; and  ^ 2
sign of the prophet  ^ 2
and adulterous generation  ^ 2
three nights in  ^ 2
nights in the  ^ 2
days and three  ^ 2
and three nights  ^ 2
without, desiring to speak  ^ 2
the will of my  ^ 2
will of my father  ^ 2
i will have mercy, and  ^ 2
have mercy, and not  ^ 2
and in them  ^ 2
unto you, that many  ^ 2
the parable of the  ^ 2
in his heart.  ^ 2
he that heareth the word,  ^ 2
good seed in  ^ 2
in his field:  ^ 2
another parable put he forth  ^ 2
parable put he forth unto them,  ^ 2
put he forth unto them, saying,  ^ 2
unto them, saying, the  ^ 2
and brought forth fruit,  ^ 2
came and said unto him,  ^ 2
the birds of the  ^ 2
the good seed  ^ 2
shall be wailing and  ^ 2
wailing and gnashing  ^ 2
and shall cast them  ^ 2
shall cast them into  ^ 2
of fire: there shall be  ^ 2
there shall be wailing  ^ 2
gnashing of teeth. then  ^ 2
who hath ears to hear,  ^ 2
of teeth. then shall the  ^ 2
then shall the righteous  ^ 2
that he had, and  ^ 2
unto him, yea, lord.  ^ 2
yea, lord. then  ^ 2
is like unto a man  ^ 2
like unto a man that is a householder,  ^ 2
a man that is a householder, which  ^ 2
and it came to pass, that when  ^ 2
it came to pass, that when jesus  ^ 2
that when jesus had finished  ^ 2
jesus had finished these  ^ 2
and when he was come into  ^ 2
five loaves, and  ^ 2
hither to me. and  ^ 2
the disciples to the  ^ 2
disciples to the multitude.  ^ 2
he commanded the multitude  ^ 2
the multitude to sit down  ^ 2
multitude to sit down on  ^ 2
to the multitude. and  ^ 2
multitude. and they did all  ^ 2
eat, and were filled:  ^ 2
and they took up of the  ^ 2
baskets full. and  ^ 2
women and children.  ^ 2
men, beside women  ^ 2
beside women and  ^ 2
and children. and  ^ 2
when the disciples saw  ^ 2
the water. and  ^ 2
him, and put  ^ 2
saying, lord, save  ^ 2
but when he saw the  ^ 2
the son of god. and  ^ 2
into all that  ^ 2
hem of his garment:  ^ 2
the hem of his  ^ 2
then answered peter  ^ 2
answered peter and said  ^ 2
peter and said unto him,  ^ 2
from that very hour.  ^ 2
then jesus answered  ^ 2
bread. but he  ^ 2
his disciples say  ^ 2
disciples say unto him,  ^ 2
the seven loaves  ^ 2
how many baskets ye took up?  ^ 2
and how many baskets  ^ 2
leaven of the pharisees  ^ 2
pharisees and of the sadducees.  ^ 2
earth shall be bound  ^ 2
shall be bound in  ^ 2
heaven: and whatsoever  ^ 2
earth shall be loosed  ^ 2
shall be loosed in  ^ 2
loosed in heaven.  ^ 2
for the sky  ^ 2
unto jerusalem, and  ^ 2
said jesus unto his  ^ 2
jesus unto his disciples,  ^ 2
were come to the  ^ 2
and saying, lord,  ^ 2
came the disciples  ^ 2
sun, and his  ^ 2
unto you, if ye have  ^ 2
ye shall say unto this mountain,  ^ 2
and jesus came  ^ 2
is in heaven. for  ^ 2
one of these little ones  ^ 2
of your father  ^ 2
but if he will not  ^ 2
again i say unto you,  ^ 2
have patience with me,  ^ 2
me, and i will pay  ^ 2
and i will pay thee  ^ 2
i will pay thee all.  ^ 2
and cast him into  ^ 2
thee: it is better  ^ 2
rather than having two  ^ 2
offend thee, pluck it out,  ^ 2
thee, pluck it out, and  ^ 2
pluck it out, and cast  ^ 2
from galilee, and  ^ 2
there are some eunuchs, which  ^ 2
and, behold, one  ^ 2
thou shalt not commit adultery, thou shalt not  ^ 2
saith unto him, all  ^ 2
unto him, all these things  ^ 2
when the son  ^ 2
and frankincense, and  ^ 2
saying, arise, and take  ^ 2
arise, and take the  ^ 2
and take the young child  ^ 2
him. when he  ^ 2
by jeremiah the  ^ 2
jeremiah the prophet,  ^ 2
in the east,  ^ 2
go into the land  ^ 2
he came and dwelt in  ^ 2
and, lo, the  ^ 2
into his vineyard.  ^ 2
called, but few  ^ 2
so the last  ^ 2
his vineyard. and  ^ 2
then came to him  ^ 2
came to him the  ^ 2
the mother of zebedee's  ^ 2
my right hand, and  ^ 2
you, let him be your  ^ 2
followed him. and,  ^ 2
saying, have mercy on us,  ^ 2
have mercy on us, o lord,  ^ 2
on us, o lord, thou son  ^ 2
o lord, thou son of david.  ^ 2
thou son of david. and  ^ 2
and whatsoever is  ^ 2
go ye also  ^ 2
ye also into  ^ 2
all the day  ^ 2
and about the  ^ 2
this is jesus  ^ 2
is jesus the  ^ 2
and he healed them.  ^ 2
he healed them. and  ^ 2
saying, hosanna to the  ^ 2
hosanna to the son  ^ 2
and when the chief priests  ^ 2
when the chief priests and  ^ 2
and he came to the  ^ 2
say unto him, the  ^ 2
publicans and the  ^ 2
and the harlots  ^ 2
of it. and the  ^ 2
took his servants,  ^ 2
chief priests and pharisees  ^ 2
a colt the foal of an ass.  ^ 2
did as jesus  ^ 2
and the multitudes  ^ 2
into the highways,  ^ 2
then saith he unto them,  ^ 2
but as touching the  ^ 2
him, and saying,  ^ 2
this is the first  ^ 2
and the prophets.  ^ 2
and no man was able  ^ 2
is your master,  ^ 2
by the temple,  ^ 2
it is nothing; but  ^ 2
nothing; but whosoever  ^ 2
ye fools and blind:  ^ 2
and blind: for  ^ 2
blind: for whether  ^ 2
for whether is  ^ 2
sweareth by the  ^ 2
the gift that  ^ 2
by the altar,  ^ 2
sweareth by it,  ^ 2
by it, and  ^ 2
it, and by  ^ 2
throne of god, and  ^ 2
the throne of god,  ^ 2
in the blood  ^ 2
upon the earth,  ^ 2
and shall deceive many.  ^ 2
was not since  ^ 2
believe it not. for  ^ 2
of man be. for  ^ 2
the disciples came  ^ 2
son of man cometh.  ^ 2
took their lamps,  ^ 2
lord, thou deliveredst unto me  ^ 2
talents: behold, i have gained  ^ 2
thou hast been faithful over  ^ 2
faithful over a few things,  ^ 2
over a few things, i will make thee ruler  ^ 2
a few things, i will make thee ruler over  ^ 2
i will make thee ruler over many things:  ^ 2
over many things: enter  ^ 2
many things: enter thou into  ^ 2
enter thou into the  ^ 2
thou into the joy  ^ 2
the joy of thy  ^ 2
joy of thy lord.  ^ 2
 his lord  ^ 2
his lord said  ^ 2
said unto him, well done,  ^ 2
came and said, lord,  ^ 2
darkness: there shall be  ^ 2
into outer darkness:  ^ 2
outer darkness: there  ^ 2
on his right hand,  ^ 2
i was a stranger, and  ^ 2
for i was hungry, and  ^ 2
i was hungry, and ye gave  ^ 2
and ye gave me  ^ 2
meat: i was thirsty, and  ^ 2
naked, and ye clothed  ^ 2
saw we thee hungry,  ^ 2
answer him, saying,  ^ 2
saying, lord, when  ^ 2
lord, when saw  ^ 2
sick, or in  ^ 2
or in prison,  ^ 2
but the wise  ^ 2
i say unto you, inasmuch as  ^ 2
then saith jesus  ^ 2
then cometh jesus  ^ 2
unto a place called  ^ 2
and prayed, saying, o my  ^ 2
saying, o my father,  ^ 2
o my father, if  ^ 2
and elders of the  ^ 2
the potter's field,  ^ 2
and the governor  ^ 2
will ye that i release unto you?  ^ 2
into the holy  ^ 2
when the even was come,  ^ 2
he is risen from the  ^ 2
dead; and, behold,  ^ 2
from heaven, saying,  ^ 2
then the devil  ^ 2
him, and, behold,  ^ 2
their synagogues, and  ^ 2
synagogues, and preaching  ^ 2
gospel of the kingdom,  ^ 2
kingdom, and healing  ^ 2
and jesus went about  ^ 2
jesus went about all  ^ 2
teaching in their  ^ 2
the devil taketh him up  ^ 2
devil taketh him up into  ^ 2
high mountain, and  ^ 2
for theirs is  ^ 2
theirs is the  ^ 2
kingdom of heaven. blessed  ^ 2
ye are the  ^ 2
from the law,  ^ 2
and he opened his  ^ 2
in danger of the judgment:  ^ 2
ye have heard that it was said  ^ 2
that it was said by them of old time,  ^ 2
it was said by them of old time, thou shalt not  ^ 2
the altar, and  ^ 2
it from thee: for  ^ 2
thee: for it is profitable  ^ 2
for it is profitable for thee  ^ 2
it is profitable for thee that  ^ 2
for thee that one  ^ 2
that one of thy  ^ 2
one of thy members  ^ 2
of thy members should perish,  ^ 2
members should perish, and  ^ 2
should perish, and not  ^ 2
and not that thy  ^ 2
not that thy whole  ^ 2
that thy whole body  ^ 2
whole body should be cast  ^ 2
body should be cast into  ^ 2
should be cast into hell.  ^ 2
if thy right  ^ 2
ye have heard that it hath been said,  ^ 2
not even the  ^ 2
even the publicans  ^ 2
and the glory,  ^ 2
men their trespasses,  ^ 2
reward. but thou,  ^ 2
secret: and thy  ^ 2
rust doth corrupt, and  ^ 2
doth corrupt, and where  ^ 2
and where thieves  ^ 2
as the hypocrites  ^ 2
the synagogues and  ^ 2
synagogues and in  ^ 2
thine eye be  ^ 2
whole body shall be  ^ 2
the grass of the  ^ 2
thy father which seeth  ^ 2
father which seeth in  ^ 2
which seeth in secret  ^ 2
be as the  ^ 2
is the gate, and  ^ 2
and in thy name  ^ 2
man, which built  ^ 2
which built his  ^ 2
built his house  ^ 2
his house upon  ^ 2
these sayings of mine,  ^ 2
sayings of mine, and  ^ 2
of mine, and doeth  ^ 2
and the winds  ^ 2
the winds blew,  ^ 2
winds blew, and  ^ 2
blew, and beat upon  ^ 2
and beat upon that  ^ 2
beat upon that house;  ^ 2
that house; and  ^ 2
and the rain  ^ 2
the rain descended,  ^ 2
rain descended, and  ^ 2
descended, and the  ^ 2
and the floods  ^ 2
the floods came,  ^ 2
floods came, and  ^ 2
the mote out of  ^ 2
but the children  ^ 2
hour. and when jesus  ^ 2
hand, and the  ^ 2
in the sea,  ^ 2
winds and the  ^ 2
no man might  ^ 2
into the herd  ^ 2
behold, the whole  ^ 2
behold, they brought to him  ^ 2
and the remnant of jacob shall be  ^ 2
in the midst of many people  ^ 2
who can stand before  ^ 2
behold, i am against thee, saith  ^ 2
i am against thee, saith the lord  ^ 2
nor take their daughters  ^ 2
the son of mattaniah, the son  ^ 2
of david the man of god,  ^ 2
the son of zaccur, the son  ^ 2
not the children of israel  ^ 2
and thirtieth year of artaxerxes  ^ 2
year of artaxerxes the king,  ^ 2
the horonite, and tobiah the servant,  ^ 2
and tobiah the servant, the ammonite,  ^ 2
to the god of heaven.  ^ 2
unto the king, if it please  ^ 2
the governors beyond the river,  ^ 2
and next unto him repaired  ^ 2
repaired the other piece,  ^ 2
built it, and set up the doors  ^ 2
next unto him repaired  ^ 2
his house. after him repaired  ^ 2
over against his house. after  ^ 2
them repaired zadok the son  ^ 2
thereof, and the bars and next unto  ^ 2
and to the rest of the people,  ^ 2
unto the nobles, and to  ^ 2
the nobles, and to the rulers,  ^ 2
and to the rulers, and to  ^ 2
