Phrase ^ Count
thus saith the lord god;  ^ 95
a certain rich man, which  ^ 2
ye have not been faithful in  ^ 2
for either he will hate the  ^ 2
either he will hate the one,  ^ 2
he will hate the one, and  ^ 2
the one, and love  ^ 2
one, and love the  ^ 2
and love the other;  ^ 2
other; or else he will hold to the one,  ^ 2
or else he will hold to the one, and  ^ 2
and despise the other.  ^ 2
despise the other. ye cannot  ^ 2
the other. ye cannot serve  ^ 2
other. ye cannot serve god  ^ 2
ye cannot serve god and  ^ 2
serve god and mammon.  ^ 2
can serve two masters:  ^ 2
serve two masters: for  ^ 2
two masters: for either  ^ 2
masters: for either he will hate  ^ 2
and beside all this,  ^ 2
and he said unto him, take  ^ 2
he said unto him, take thy  ^ 2
unto him, take thy bill,  ^ 2
take thy bill, and  ^ 2
and he said, a hundred  ^ 2
he said, a hundred measures  ^ 2
the children of this world  ^ 2
it were better for him that a millstone  ^ 2
as it was in the  ^ 2
it was in the days  ^ 2
entered into the ark,  ^ 2
into the ark, and  ^ 2
the flood came, and  ^ 2
until the day that noah  ^ 2
the day that noah entered  ^ 2
upon the housetop, and  ^ 2
the other left. two  ^ 2
in the field; the  ^ 2
the field; the one  ^ 2
field; the one shall be taken,  ^ 2
faith as a grain of mustard seed,  ^ 2
little children to come unto me,  ^ 2
to come unto me, and  ^ 2
unto me, and forbid  ^ 2
me, and forbid them  ^ 2
and forbid them not:  ^ 2
forbid them not: for  ^ 2
them not: for of such  ^ 2
not: for of such is  ^ 2
jesus called them unto him, and said,  ^ 2
the kingdom of god. verily  ^ 2
the kingdom of god as  ^ 2
kingdom of god. verily i say  ^ 2
of god. verily i say unto you,  ^ 2
verily i say unto you, whosoever  ^ 2
i say unto you, whosoever shall not  ^ 2
unto you, whosoever shall not receive  ^ 2
whosoever shall not receive the  ^ 2
shall not receive the kingdom  ^ 2
receive the kingdom of god  ^ 2
good master, what shall i do  ^ 2
eternal life? and jesus  ^ 2
life? and jesus said  ^ 2
jesus said unto him, why  ^ 2
kill, do not steal, do not  ^ 2
do not steal, do not bear false witness,  ^ 2
thy father and thy  ^ 2
one, that is, god. thou knowest the  ^ 2
that is, god. thou knowest the commandments,  ^ 2
thou knowest the commandments, do not  ^ 2
the commandments, do not commit adultery,  ^ 2
commandments, do not commit adultery, do not  ^ 2
do not commit adultery, do not kill,  ^ 2
commit adultery, do not kill, do not  ^ 2
do not kill, do not steal,  ^ 2
have i kept from my youth  ^ 2
in heaven: and come,  ^ 2
how hardly shall they that have riches  ^ 2
hardly shall they that have riches enter  ^ 2
shall they that have riches enter into  ^ 2
riches enter into the  ^ 2
then can be saved? and  ^ 2
lo, we have left all,  ^ 2
we have left all, and  ^ 2
said unto them, verily i say  ^ 2
verily i say unto you, there is  ^ 2
i say unto you, there is no man  ^ 2
and in the world  ^ 2
in the world to come  ^ 2
and said unto them, behold,  ^ 2
third day he shall rise again. and  ^ 2
jesus, thou son of david, have mercy  ^ 2
that he should hold his peace: but he  ^ 2
he should hold his peace: but he cried  ^ 2
have mercy on me. and jesus  ^ 2
and immediately he received his sight, and  ^ 2
immediately he received his sight, and followed  ^ 2
on the earth? and  ^ 2
saying, lord, thy pound  ^ 2
lord, thy pound hath gained  ^ 2
and, behold, there was a man named  ^ 2
and bethany, at the  ^ 2
bethany, at the mount  ^ 2
he sent two of his disciples,  ^ 2
bethphage and bethany, at  ^ 2
ye shall find a colt tied, whereon  ^ 2
loose him, and bring and  ^ 2
lord hath need of him.  ^ 2
him, and bring and if  ^ 2
and bring and if any man  ^ 2
hath need of him. and  ^ 2
that cometh in the name of the lord:  ^ 2
said unto him, master,  ^ 2
into the temple, and began  ^ 2
the temple, and began to cast out  ^ 2
temple, and began to cast out them that sold  ^ 2
unto them, it is written, my house  ^ 2
but the chief priests and  ^ 2
lying in a manger. and  ^ 2
and, behold, there was a man  ^ 2
after the custom of the  ^ 2
by the spirit into  ^ 2
into the temple: and  ^ 2
and joseph and his  ^ 2
joseph and his mother  ^ 2
he said unto them, how  ^ 2
and laid him in  ^ 2
and at the season he sent  ^ 2
and sent him away empty. and again he sent  ^ 2
but when the husbandmen saw  ^ 2
which the builders rejected,  ^ 2
the builders rejected, the same  ^ 2
builders rejected, the same is become  ^ 2
rejected, the same is become the  ^ 2
the same is become the head  ^ 2
but on whomsoever it shall fall,  ^ 2
on whomsoever it shall fall, it will grind him to powder.  ^ 2
whomsoever it shall fall, it will grind him to powder. and  ^ 2
they feared the people: for  ^ 2
saying, master, we know that  ^ 2
to give tribute unto caesar, or  ^ 2
render therefore unto caesar the things  ^ 2
that his brother should take  ^ 2
saying, master, moses wrote  ^ 2
master, moses wrote unto us,  ^ 2
moses wrote unto us, if  ^ 2
brethren: and the first  ^ 2
and the first took  ^ 2
the first took a wife,  ^ 2
thee this authority? and  ^ 2
and the second took  ^ 2
woman died also. therefore  ^ 2
seven had her to wife.  ^ 2
died also. therefore in  ^ 2
also. therefore in the  ^ 2
therefore in the resurrection  ^ 2
in the resurrection whose  ^ 2
the resurrection whose wife  ^ 2
had her to wife. and  ^ 2
her to wife. and jesus  ^ 2
to wife. and jesus answering  ^ 2
then certain of the scribes  ^ 2
the baptism of john, was  ^ 2
baptism of john, was it from  ^ 2
of john, was it from heaven,  ^ 2
was it from heaven, or  ^ 2
it from heaven, or of  ^ 2
heaven, or of men?  ^ 2
the lord said unto my  ^ 2
i make thine enemies thy  ^ 2
greetings in the markets,  ^ 2
in the markets, and  ^ 2
beware of the scribes,  ^ 2
we shall say, from heaven; he will say,  ^ 2
from heaven; he will say, why  ^ 2
heaven; he will say, why then  ^ 2
they reasoned with themselves,  ^ 2
reasoned with themselves, saying,  ^ 2
i you by what  ^ 2
said unto them, neither tell  ^ 2
unto them, neither tell i  ^ 2
neither tell i you  ^ 2
tell i you by  ^ 2
shall receive greater damnation. and  ^ 2
judea flee to the  ^ 2
and upon the earth  ^ 2
with power and great  ^ 2
power and great glory.  ^ 2
shall be shaken. and then shall they see  ^ 2
and then shall they see the  ^ 2
then shall they see the son  ^ 2
shall they see the son of man  ^ 2
and great glory. and  ^ 2
unto you, that this poor  ^ 2
that this poor widow  ^ 2
so likewise ye, when  ^ 2
verily i say unto you, this  ^ 2
i say unto you, this generation  ^ 2
unto you, this generation shall not  ^ 2
be fulfilled. heaven and earth  ^ 2
heaven and earth shall pass away:  ^ 2
and earth shall pass away: but  ^ 2
earth shall pass away: but my  ^ 2
shall pass away: but my words  ^ 2
in the temple; and  ^ 2
but she of her  ^ 2
there shall not be left one stone upon another, that  ^ 2
be left one stone upon another, that shall not  ^ 2
saying, i am christ ; and  ^ 2
when ye shall hear of wars and  ^ 2
where is the guestchamber,  ^ 2
is the guestchamber, where  ^ 2
the guestchamber, where i shall eat  ^ 2
guestchamber, where i shall eat the  ^ 2
where i shall eat the passover  ^ 2
i shall eat the passover with  ^ 2
the passover with my  ^ 2
passover with my disciples?  ^ 2
as he had said unto them: and  ^ 2
he had said unto them: and they made ready  ^ 2
unto them: and they made ready the  ^ 2
they made ready the passover. and  ^ 2
for i say unto you, i will  ^ 2
i say unto you, i will not  ^ 2
the fruit of the vine,  ^ 2
but woe unto that man  ^ 2
woe unto that man by  ^ 2
unto that man by whom  ^ 2
among them, which of them  ^ 2
gentiles exercise lordship over them; and  ^ 2
with me in my  ^ 2
judging the twelve tribes  ^ 2
the twelve tribes of israel.  ^ 2
twelve tribes of israel. and  ^ 2
cup from me: nevertheless  ^ 2
this cup from me:  ^ 2
lest ye enter into temptation.  ^ 2
and while he yet spake,  ^ 2
but jesus said unto him,  ^ 2
of the high priest, and cut off  ^ 2
high priest, and cut off his  ^ 2
ear. and jesus answered  ^ 2
as against a thief, with  ^ 2
against a thief, with swords  ^ 2
a thief, with swords and  ^ 2
daily with you in  ^ 2
with you in the  ^ 2
by the fire, and  ^ 2
and peter said, man,  ^ 2
to give him money. and  ^ 2
and immediately, while he yet  ^ 2
immediately, while he yet spake,  ^ 2
i know not what thou sayest.  ^ 2
not what thou sayest. and  ^ 2
and peter remembered the  ^ 2
peter remembered the word  ^ 2
unto him, before the cock crow,  ^ 2
and asked him, saying,  ^ 2
the elders of the people  ^ 2
and they said, what  ^ 2
said unto him, where wilt  ^ 2
no fault in this  ^ 2
of the jews? and he  ^ 2
and pilate asked him,  ^ 2
asked him, saying, art  ^ 2
him, saying, art thou  ^ 2
saying, art thou the  ^ 2
one on the right hand, and  ^ 2
when they were come to the  ^ 2
saying, if thou be  ^ 2
king of the jews. and  ^ 2
jesus said unto him, verily  ^ 2
said unto him, verily i say  ^ 2
until the ninth hour. and  ^ 2
and the veil of the  ^ 2
and begged the body of jesus.  ^ 2
in the midst of them, and  ^ 2
and he said unto them, why  ^ 2
he said unto them, why are  ^ 2
them. and he said unto them,  ^ 2
saying, the son of man  ^ 2
shall we do? and he said  ^ 2
the latchet of whose shoes  ^ 2
shoes i am not worthy  ^ 2
i indeed baptize you  ^ 2
and with fire: whose fan  ^ 2
with fire: whose fan is in  ^ 2
whose fan is in his  ^ 2
fan is in his hand,  ^ 2
is in his hand, and  ^ 2
the baptism of repentance for the remission  ^ 2
saying, the voice of one crying in  ^ 2
and every mountain and  ^ 2
o generation of vipers, who hath warned  ^ 2
of vipers, who hath warned you  ^ 2
who hath warned you to flee  ^ 2
hath warned you to flee from  ^ 2
you to flee from the  ^ 2
to flee from the wrath  ^ 2
from the wrath to come?  ^ 2
the wrath to come? bring forth  ^ 2
not to say within yourselves,  ^ 2
to say within yourselves, we have  ^ 2
within yourselves, we have abraham  ^ 2
yourselves, we have abraham to our father:  ^ 2
we have abraham to our father: for  ^ 2
abraham to our father: for i say  ^ 2
to our father: for i say unto you,  ^ 2
i say unto you, that god  ^ 2
wrath to come? bring forth therefore  ^ 2
unto you, that god is able  ^ 2
that god is able of  ^ 2
god is able of these  ^ 2
is able of these stones  ^ 2
of these stones to raise up  ^ 2
these stones to raise up children  ^ 2
stones to raise up children unto abraham.  ^ 2
to come? bring forth therefore fruits  ^ 2
to raise up children unto abraham. and  ^ 2
unto the root of the  ^ 2
the root of the trees:  ^ 2
which bringeth not forth good fruit is hewn down,  ^ 2
children unto abraham. and now  ^ 2
unto abraham. and now also  ^ 2
and now also the  ^ 2
now also the axe  ^ 2
also the axe is laid  ^ 2
the axe is laid unto  ^ 2
axe is laid unto the  ^ 2
is laid unto the root  ^ 2
thy foot against a stone.  ^ 2
thee: and in their hands  ^ 2
and in their hands they shall bear thee up,  ^ 2
in their hands they shall bear thee up, lest at any time  ^ 2
their hands they shall bear thee up, lest at any time thou dash  ^ 2
they shall bear thee up, lest at any time thou dash thy  ^ 2
lest at any time thou dash thy foot  ^ 2
thou dash thy foot against  ^ 2
thou shalt not tempt the lord thy  ^ 2
tempt the lord thy god.  ^ 2
jesus answering said unto him,  ^ 2
all the region round about. and  ^ 2
of the devil. and  ^ 2
out of his mouth. and  ^ 2
he said, verily i say unto you,  ^ 2
thou be the son of god, command  ^ 2
and the devil said  ^ 2
the devil said unto him,  ^ 2
said unto him, if thou be  ^ 2
and they were astonished at his  ^ 2
they were astonished at his doctrine:  ^ 2
to destroy us? i know thee  ^ 2
us? i know thee who  ^ 2
saying, let us alone; what have we to do with thee, thou jesus  ^ 2
let us alone; what have we to do with thee, thou jesus of nazareth?  ^ 2
what have we to do with thee, thou jesus of nazareth? art thou come  ^ 2
thou jesus of nazareth? art thou come to destroy  ^ 2
of nazareth? art thou come to destroy us?  ^ 2
art thou come to destroy us? i know  ^ 2
the holy one of god. and  ^ 2
and come out of him.  ^ 2
come out of him. and  ^ 2
out of him. and when the  ^ 2
holy one of god. and jesus  ^ 2
of god. and jesus rebuked  ^ 2
and jesus rebuked him,  ^ 2
jesus rebuked him, saying,  ^ 2
rebuked him, saying, hold thy peace,  ^ 2
him, saying, hold thy peace, and  ^ 2
saying, hold thy peace, and come  ^ 2
hold thy peace, and come out of  ^ 2
the unclean spirits, and  ^ 2
man shall not live by  ^ 2
shall not live by bread  ^ 2
live by bread alone,  ^ 2
by bread alone, but  ^ 2
bread alone, but by  ^ 2
alone, but by every  ^ 2
but by every word  ^ 2
and jesus answered him,  ^ 2
all the kingdoms of the  ^ 2
word of god. and the  ^ 2
thee behind me, satan: for  ^ 2
satan: for it is written, thou shalt worship  ^ 2
for it is written, thou shalt worship the lord  ^ 2
it is written, thou shalt worship the lord thy  ^ 2
thou shalt worship the lord thy god,  ^ 2
the lord thy god, and  ^ 2
thy god, and him  ^ 2
god, and him only  ^ 2
and him only shalt thou serve.  ^ 2
him on a pinnacle of the  ^ 2
on a pinnacle of the temple,  ^ 2
a pinnacle of the temple, and  ^ 2
thou be the son of god, cast  ^ 2
the son of god, cast thyself  ^ 2
him, saying, lord, if  ^ 2
saying, lord, if thou wilt,  ^ 2
lord, if thou wilt, thou canst  ^ 2
immediately the leprosy departed  ^ 2
the leprosy departed from  ^ 2
his hand, and touched him, saying,  ^ 2
priest, and offer for  ^ 2
and offer for thy  ^ 2
for a testimony unto them. but  ^ 2
it came to pass on a certain day,  ^ 2
blasphemies? who can forgive  ^ 2
your hearts? whether is  ^ 2
whether is easier, to say,  ^ 2
sick of the palsy,) i say unto thee, arise,  ^ 2
i say unto thee, arise, and  ^ 2
unto thee, arise, and take up  ^ 2
into thine house. and  ^ 2
thine house. and immediately  ^ 2
sitting at the receipt of custom:  ^ 2
at the receipt of custom: and  ^ 2
unto him, follow me. and  ^ 2
i came not to call the righteous,  ^ 2
not to call the righteous, but  ^ 2
sinners to repentance. and  ^ 2
why do the disciples of john  ^ 2
children of the bridechamber fast,  ^ 2
of the bridechamber fast, while  ^ 2
bridechamber fast, while the  ^ 2
fast, while the bridegroom  ^ 2
while the bridegroom is  ^ 2
is with them? but  ^ 2
shall they fast in those days.  ^ 2
with them? but the days  ^ 2
them? but the days will come,  ^ 2
when the bridegroom shall be taken away  ^ 2
the bridegroom shall be taken away from  ^ 2
bridegroom shall be taken away from them,  ^ 2
else the new wine  ^ 2
and no man putteth new  ^ 2
no man putteth new wine  ^ 2
putteth new wine into  ^ 2
but new wine must be put  ^ 2
new wine must be put into  ^ 2
wine must be put into new  ^ 2
that he went through the  ^ 2
and his hand was restored  ^ 2
his hand was restored whole  ^ 2
hand was restored whole as  ^ 2
was restored whole as the  ^ 2
whole as the other.  ^ 2
as the other. and  ^ 2
and andrew his brother,  ^ 2
and judas iscariot, which  ^ 2
judas iscariot, which also  ^ 2
you, and pray for  ^ 2
and pray for them which despitefully use  ^ 2
and jesus answering them  ^ 2
ye would that men should do  ^ 2
that men should do to you,  ^ 2
men should do to you, do  ^ 2
should do to you, do ye  ^ 2
for if ye love them which love  ^ 2
if ye love them which love you,  ^ 2
ye love them which love you, what  ^ 2
how he went into the  ^ 2
he went into the house  ^ 2
into the house of god,  ^ 2
the house of god, and  ^ 2
the disciple is not above  ^ 2
is in thy brother's eye,  ^ 2
thy brother's eye, but  ^ 2
not the beam that  ^ 2
the beam that is in  ^ 2
beam that is in thine own  ^ 2
that is in thine own eye?  ^ 2
and why beholdest thou the  ^ 2
why beholdest thou the mote  ^ 2
beholdest thou the mote that  ^ 2
thou the mote that is in  ^ 2
brother, let me pull out the  ^ 2
let me pull out the mote  ^ 2
the mote that is in  ^ 2
is in thine own eye? thou hypocrite,  ^ 2
the beam out of thine own  ^ 2
tree bring forth good fruit.  ^ 2
an evil man out of the  ^ 2
man out of the evil  ^ 2
out of the evil treasure  ^ 2
treasure of his heart bringeth forth  ^ 2
a good man out of the  ^ 2
man out of the good  ^ 2
out of the good treasure  ^ 2
for it was founded upon a rock.  ^ 2
of man is lord also  ^ 2
is lord also of the  ^ 2
lord also of the sabbath.  ^ 2
also of the sabbath. and  ^ 2
or to do evil? to save life,  ^ 2
to do evil? to save life, or  ^ 2
no, not in israel. and  ^ 2
i say unto thee, arise. and  ^ 2
and the disciples of john  ^ 2
saying, art thou he that should come  ^ 2
art thou he that should come or  ^ 2
thou he that should come or look we for  ^ 2
he that should come or look we for another?  ^ 2
the lame walk, the lepers are cleansed,  ^ 2
and blessed is he, whosoever  ^ 2
blessed is he, whosoever shall not  ^ 2
is he, whosoever shall not be offended  ^ 2
he, whosoever shall not be offended in  ^ 2
shall not be offended in me.  ^ 2
be offended in me. and  ^ 2
concerning john, what went ye out  ^ 2
john, what went ye out into  ^ 2
what went ye out into the  ^ 2
went ye out into the wilderness  ^ 2
a reed shaken with the wind?  ^ 2
shaken with the wind? but  ^ 2
in soft raiment? behold,  ^ 2
with the wind? but what  ^ 2
the wind? but what went ye out  ^ 2
what went ye out for to see? a man  ^ 2
went ye out for to see? a man clothed  ^ 2
for to see? a man clothed in  ^ 2
a man clothed in soft  ^ 2
clothed in soft raiment?  ^ 2
what went ye out for to see? a prophet?  ^ 2
went ye out for to see? a prophet? yea,  ^ 2
for to see? a prophet? yea, i say  ^ 2
a prophet? yea, i say unto you,  ^ 2
yea, i say unto you, and  ^ 2
this is he, of whom  ^ 2
is he, of whom it is written,  ^ 2
he, of whom it is written, behold,  ^ 2
whom it is written, behold, i  ^ 2
it is written, behold, i send  ^ 2
he that is least in the kingdom  ^ 2
is greater than he. and  ^ 2
and saying, we have piped unto you,  ^ 2
saying, we have piped unto you, and  ^ 2
we have piped unto you, and ye have not  ^ 2
unto you, and ye have not danced;  ^ 2
and ye have not danced; we have mourned  ^ 2
like unto children sitting in  ^ 2
and a winebibber, a friend of publicans  ^ 2
a winebibber, a friend of publicans and  ^ 2
he hath a devil. the son  ^ 2
a devil. the son of man  ^ 2
but wisdom is justified of  ^ 2
not far from the  ^ 2
i am not worthy that  ^ 2
and my servant shall be healed.  ^ 2
and he goeth; and to another,  ^ 2
he goeth; and to another, come,  ^ 2
and to another, come, and  ^ 2
to another, come, and he cometh;  ^ 2
come, and he cometh; and  ^ 2
and he cometh; and to my  ^ 2
he cometh; and to my servant,  ^ 2
and to my servant, do  ^ 2
to my servant, do this,  ^ 2
servant, do this, and  ^ 2
do this, and he doeth  ^ 2
for i also am  ^ 2
this, and he doeth when  ^ 2
i say unto you, i have not found so great  ^ 2
unto you, i have not found so great faith,  ^ 2
i have not found so great faith, no, not  ^ 2
and he doeth when jesus  ^ 2
so great faith, no, not in  ^ 2
faith, no, not in israel.  ^ 2
he doeth when jesus heard  ^ 2
the mysteries of the kingdom  ^ 2
of the kingdom of god: but  ^ 2
unto you it is given to know the  ^ 2
to know the mysteries of the  ^ 2
and taketh away the word  ^ 2
whosoever hath not, from  ^ 2
hath not, from him  ^ 2
not, from him shall be taken  ^ 2
from him shall be taken even  ^ 2
him shall be taken even that which  ^ 2
for whosoever hath, to him  ^ 2
and thy brethren stand  ^ 2
thy brethren stand without,  ^ 2
brethren stand without, desiring  ^ 2
into a ship with his  ^ 2
unto the other side of the  ^ 2
the wind and the  ^ 2
even the winds and  ^ 2
there met him out of the  ^ 2
and fell down before him, and  ^ 2
and they besought him that  ^ 2
into the swine: and  ^ 2
the swine: and the  ^ 2
swine: and the herd  ^ 2
and the herd ran violently  ^ 2
the herd ran violently down  ^ 2
herd ran violently down a steep place  ^ 2
and in the country.  ^ 2
out of whom the devils  ^ 2
clothed, and in his right mind: and  ^ 2
and in his right mind: and they were afraid.  ^ 2
him. and, behold, there came  ^ 2
an issue of blood twelve  ^ 2
issue of blood twelve years,  ^ 2
came behind him, and touched the  ^ 2
the border of his garment:  ^ 2
border of his garment: and  ^ 2
peter and they that were with  ^ 2
thy faith hath made thee whole; go  ^ 2
faith hath made thee whole; go in  ^ 2
he said unto her, daughter,  ^ 2
some fell by the  ^ 2
save peter, and james,  ^ 2
father and the mother  ^ 2
and the mother of the  ^ 2
some fell among thorns;  ^ 2
fell among thorns; and  ^ 2
among thorns; and the  ^ 2
thorns; and the thorns  ^ 2
and other fell on  ^ 2
other fell on good  ^ 2
fell on good ground,  ^ 2
on good ground, and  ^ 2
send the multitude away, that they may go into  ^ 2
them to eat. and they  ^ 2
give ye them to eat.  ^ 2
ye them to eat. and  ^ 2
about five thousand men. and  ^ 2
the two fishes, and looking up  ^ 2
two fishes, and looking up to  ^ 2
fishes, and looking up to heaven,  ^ 2
and broke, and gave  ^ 2
the five loaves and  ^ 2
five loaves and the  ^ 2
loaves and the two  ^ 2
but some say, elijah; and  ^ 2
one of the old prophets  ^ 2
say ye that i am?  ^ 2
of god. and he straitly charged  ^ 2
and be rejected of the  ^ 2
of the elders and  ^ 2
the elders and chief priests  ^ 2
elders and chief priests and  ^ 2
and chief priests and scribes,  ^ 2
chief priests and scribes, and  ^ 2
son of man must suffer  ^ 2
of man must suffer many things,  ^ 2
must suffer many things, and  ^ 2
man will come after me,  ^ 2
whosoever will lose his life  ^ 2
the same shall save it. for  ^ 2
shall save it. for what  ^ 2
it. for what is a man  ^ 2
shall the son of man be ashamed,  ^ 2
son of man be ashamed, when  ^ 2
shall be ashamed of me and of my  ^ 2
standing here, which shall not  ^ 2
taste of death, till they see  ^ 2
of death, till they see the  ^ 2
there be some standing here,  ^ 2
some standing here, which  ^ 2
into a mountain to pray. and  ^ 2
master, it is good for us  ^ 2
for us to be here: and  ^ 2
to be here: and let us make  ^ 2
here: and let us make three  ^ 2
and let us make three tabernacles;  ^ 2
let us make three tabernacles; one  ^ 2
is my beloved son:  ^ 2
my beloved son: hear  ^ 2
beloved son: hear him.  ^ 2
a voice out of the cloud,  ^ 2
out of the cloud, saying,  ^ 2
the cloud, saying, this  ^ 2
cloud, saying, this is  ^ 2
son: hear him. and  ^ 2
and perverse generation, how long  ^ 2
perverse generation, how long shall i be  ^ 2
o faithless and perverse  ^ 2
faithless and perverse generation,  ^ 2
in my name receiveth  ^ 2
receiveth me: and whosoever  ^ 2
me: and whosoever shall receive  ^ 2
one casting out devils in  ^ 2
casting out devils in thy  ^ 2
and we forbade him, because  ^ 2
we forbade him, because he followeth  ^ 2
him, because he followeth not  ^ 2
master, we saw one casting out  ^ 2
we saw one casting out devils  ^ 2
your feet for a testimony  ^ 2
for he that is not  ^ 2
he that is not against  ^ 2
that is not against us  ^ 2
not against us is  ^ 2
i will follow thee whithersoever thou goest.  ^ 2
thee whithersoever thou goest. and  ^ 2
birds of the air have nests;  ^ 2
of the air have nests; but  ^ 2
air have nests; but the  ^ 2
have nests; but the son  ^ 2
but the son of man  ^ 2
son of man hath not  ^ 2
of man hath not where  ^ 2
whithersoever thou goest. and jesus  ^ 2
hath not where to lay  ^ 2
not where to lay his head.  ^ 2
foxes have holes, and  ^ 2
where to lay his head. and  ^ 2
lord, suffer me first  ^ 2
suffer me first to go  ^ 2
let the dead bury  ^ 2
the dead bury their  ^ 2
herod the tetrarch heard  ^ 2
saith the lord of hosts. who  ^ 2
unto you, saith the lord of hosts.  ^ 2
son, in whom i am well pleased.  ^ 2
casting a net into the  ^ 2
a net into the sea:  ^ 2
into the sea: for  ^ 2
the sea: for they were  ^ 2
sea: for they were fishers.  ^ 2
by the sea of galilee,  ^ 2
for they were fishers. and  ^ 2
me, and i will make you  ^ 2
and followed him. and  ^ 2
authority, and not as  ^ 2
and not as the  ^ 2
not as the scribes.  ^ 2
his doctrine: for he taught  ^ 2
doctrine: for he taught them  ^ 2
for he taught them as  ^ 2
him, and cried with a loud  ^ 2
with james and john.  ^ 2
james and john. but  ^ 2
and took her by the hand,  ^ 2
put forth his hand, and touched him,  ^ 2
but go thy way, show thyself  ^ 2
go thy way, show thyself to the  ^ 2
show thyself to the priest,  ^ 2
about his loins; and  ^ 2
into the coasts of judea  ^ 2
thou me good? there is none good  ^ 2
good? there is none good but  ^ 2
there is none good but one,  ^ 2
callest thou me good? there is none  ^ 2
for he had great possessions.  ^ 2
of a needle, than for a rich man to enter  ^ 2
with god all things are  ^ 2
god all things are possible.  ^ 2
all things are possible. then  ^ 2
or brethren, or sisters,  ^ 2
brethren, or sisters, or  ^ 2
or sisters, or father,  ^ 2
sisters, or father, or  ^ 2
or father, or mother,  ^ 2
father, or mother, or  ^ 2
or mother, or wife,  ^ 2
mother, or wife, or  ^ 2
wife, or children, or  ^ 2
or children, or lands,  ^ 2
answered and said, verily i say  ^ 2
and said, verily i say unto you,  ^ 2
life. but many that are first  ^ 2
but many that are first shall be  ^ 2
many that are first shall be last;  ^ 2
that are first shall be last; and  ^ 2
and they shall condemn him to death,  ^ 2
they shall condemn him to death, and  ^ 2
him to death, and shall deliver  ^ 2
to death, and shall deliver him  ^ 2
and shall deliver him to the  ^ 2
and james and john,  ^ 2
he said unto them, what  ^ 2
on thy right hand, and  ^ 2
thy right hand, and the other  ^ 2
right hand, and the other on  ^ 2
cup that i drink  ^ 2
be baptized with the baptism that  ^ 2
and when the ten heard  ^ 2
but whosoever will be  ^ 2
whosoever will be great  ^ 2
will be great among  ^ 2
be great among you,  ^ 2
among you: but whosoever  ^ 2
you: but whosoever will  ^ 2
not to be ministered unto, but to minister,  ^ 2
to be ministered unto, but to minister, and  ^ 2
but to minister, and to give  ^ 2
to minister, and to give his  ^ 2
and to give his life  ^ 2
to give his life a ransom  ^ 2
his life a ransom for  ^ 2
life a ransom for many.  ^ 2
son of man came not  ^ 2
of man came not to be ministered unto,  ^ 2
came not to be ministered unto, but  ^ 2
a ransom for many. and  ^ 2
and as he went out of  ^ 2
made them male and  ^ 2
they are no more twain, but  ^ 2
no more twain, but one  ^ 2
twain, but one flesh.  ^ 2
and they twain shall be one  ^ 2
but one flesh. what  ^ 2
one flesh. what therefore  ^ 2
flesh. what therefore god  ^ 2
what therefore god hath joined together,  ^ 2
therefore god hath joined together, let not  ^ 2
god hath joined together, let not man  ^ 2
hath joined together, let not man put asunder.  ^ 2
he sendeth forth two of his disciples,  ^ 2
hosanna in the highest.  ^ 2
in the highest. and  ^ 2
them that sold and bought in  ^ 2
and bought in the  ^ 2
bought in the temple,  ^ 2
the temple, and overthrew  ^ 2
temple, and overthrew the  ^ 2
and overthrew the tables  ^ 2
overthrew the tables of the  ^ 2
the tables of the moneychangers,  ^ 2
tables of the moneychangers, and  ^ 2
of the moneychangers, and the  ^ 2
moneychangers, and the seats  ^ 2
and the seats of them that sold  ^ 2
and jesus went into  ^ 2
jesus went into the  ^ 2
two of his disciples, and  ^ 2
of his disciples, and saith  ^ 2
into the village over against  ^ 2
and jesus answering saith  ^ 2
jesus answering saith unto them,  ^ 2
unto this mountain, be thou removed, and  ^ 2
mountain, be thou removed, and be thou cast  ^ 2
be thou removed, and be thou cast into  ^ 2
and be thou cast into the  ^ 2
be thou cast into the sea;  ^ 2
the chief priests, and the  ^ 2
chief priests, and the scribes,  ^ 2
the scribes, and the  ^ 2
doest thou these things? and who  ^ 2
thou these things? and who gave  ^ 2
and who gave thee  ^ 2
who gave thee this  ^ 2
authority doest thou these things? and  ^ 2
and if any man say  ^ 2
authority i do these things. the  ^ 2
i do these things. the baptism  ^ 2
these things. the baptism of john,  ^ 2
believe him? but if  ^ 2
him? but if we shall say,  ^ 2
but if we shall say, of  ^ 2
if we shall say, of men;  ^ 2
the trees, and strewed  ^ 2
trees, and strewed them in  ^ 2
and strewed them in the  ^ 2
strewed them in the way.  ^ 2
spread their garments in  ^ 2
their garments in the  ^ 2
them in the way. and  ^ 2
and built a tower, and  ^ 2
built a tower, and let it out  ^ 2
a tower, and let it out to husbandmen,  ^ 2
and let it out to husbandmen, and  ^ 2
the head of the corner: this  ^ 2
the lord's doing, and it is marvelous  ^ 2
and it is marvelous in  ^ 2
it is marvelous in our  ^ 2
marvelous in our eyes?  ^ 2
we know that thou art true,  ^ 2
that thou art true, and  ^ 2
thou regardest not the person  ^ 2
the way of god in  ^ 2
master, we know that thou art  ^ 2
whose is this image and  ^ 2
is this image and superscription?  ^ 2
he saith unto them, whose is this  ^ 2
unto them, whose is this image  ^ 2
his wife, and raise up  ^ 2
wife, and raise up seed  ^ 2
but are as the angels  ^ 2
